# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

cài	cai4	ㄘㄞˋ		菜	4	4	※
cān	can1	ㄘㄢ		餐	4	3	※
cán	can2	ㄘㄢˊ		残	3	4	※
cǎn	can3	ㄘㄢˇ		惨	5	3	※
càn	can4	ㄘㄢˋ		灿	5	5	※
cāng	cang1	ㄘㄤ		仓	6	6	※
cáng	cang2	ㄘㄤˊ		藏	1	1	※
cǎng	cang3	ㄘㄤˇ		駔		1	
càng	cang4	ㄘㄤˋ		䅮			‽
cāo	cao1	ㄘㄠ		操	2	2	※
cáo	cao2	ㄘㄠˊ		曹	7	5	※
cǎo	cao3	ㄘㄠˇ		草	2	5	※
cào	cao4	ㄘㄠˋ		肏	1	5	※
cè	ce4	ㄘㄜˋ		策	7	9	※
cèi	cei4	ㄘㄟˋ		𤭢	1		
cēn	cen1	ㄘㄣ		参	1	3	※
cén	cen2	ㄘㄣˊ		岑	2	2	※
cēng	ceng1	ㄘㄥ		噌	1	1	※
céng	ceng2	ㄘㄥˊ		层	3	4	※
cěng	ceng3	ㄘㄥˇ		噌		1	
cèng	ceng4	ㄘㄥˋ		蹭	1	1	※
chā	cha1	ㄔㄚ		插	12	9	※
chá	cha2	ㄔㄚˊ		茬	14	11	※
chǎ	cha3	ㄔㄚˇ		叉	4	4	※
chà	cha4	ㄔㄚˋ		岔	11	10	※
chāi	chai1	ㄔㄞ		拆	3	3	※
chái	chai2	ㄔㄞˊ		柴	3	6	※
chǎi	chai3	ㄔㄞˇ		茝	2	2	※
chài	chai4	ㄔㄞˋ		虿	3	3	※
chān	chan1	ㄔㄢ		搀	7	5	※
chán	chan2	ㄔㄢˊ		馋	20	28	※
chǎn	chan3	ㄔㄢˇ		产	12	15	※
chàn	chan4	ㄔㄢˋ		颤	5	8	※
chāng	chang1	ㄔㄤ		昌	8	10	※
cháng	chang2	ㄔㄤˊ		肠	12	13	※
chǎng	chang3	ㄔㄤˇ		敞	7	7	※
chàng	chang4	ㄔㄤˋ		畅	7	7	※
chāo	chao1	ㄔㄠ		超	9	8	※
cháo	chao2	ㄔㄠˊ		巢	5	9	※
chǎo	chao3	ㄔㄠˇ		炒	3	3	※
chào	chao4	ㄔㄠˋ		耖	1	3	※
chē	che1	ㄔㄜ		车	4	4	※
chě	che3	ㄔㄜˇ		扯	2	4	※
chè	che4	ㄔㄜˋ		彻	6	9	※
chēn	chen1	ㄔㄣ		抻	9	7	※
chén	chen2	ㄔㄣˊ		尘	13	15	※
chěn	chen3	ㄔㄣˇ		碜	4	4	※
chèn	chen4	ㄔㄣˋ		衬	8	10	※
chen	chen5	˙ㄔㄣ		伧	1		
chēng	cheng1	ㄔㄥ		撑	12	14	※
chéng	cheng2	ㄔㄥˊ		成	26	30	※
chěng	cheng3	ㄔㄥˇ		逞	4	2	※
chèng	cheng4	ㄔㄥˋ		秤	3	2	※
chī	chi1	ㄔ		吃	17	20	※
chí	chi2	ㄔˊ		池	12	20	※
chǐ	chi3	ㄔˇ		齿	8	10	※
chì	chi4	ㄔˋ		斥	17	19	※
chōng	chong1	ㄔㄨㄥ		充	14	11	※
chóng	chong2	ㄔㄨㄥˊ		虫	5	5	※
chǒng	chong3	ㄔㄨㄥˇ		宠	1	1	※
chòng	chong4	ㄔㄨㄥˋ		冲	3	3	※
