# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

háng	hang2	ㄏㄤˊ		杭	9	10	※
hǎng	hang3	ㄏㄤˇ					‽
hàng	hang4	ㄏㄤˋ		巷	3	3	※
hāo	hao1	ㄏㄠ		蒿	3	3	※
háo	hao2	ㄏㄠˊ		毫	9	11	※
hǎo	hao3	ㄏㄠˇ		好	2	2	※
hào	hao4	ㄏㄠˋ		耗	14	17	※
hē	he1	ㄏㄜ		喝	5	3	※
hé	he2	ㄏㄜˊ		禾	28	34	※
hě	he3	ㄏㄜˇ		㲦			‽
hè	he4	ㄏㄜˋ		贺	16	15	※
hēi	hei1	ㄏㄟ		黑	4	2	※
hěi	hei3	ㄏㄟˇ		黑		1	
hēn	hen1	ㄏㄣ		哏		1	
hén	hen2	ㄏㄣˊ		痕	1	2	※
hěn	hen3	ㄏㄣˇ		很	3	3	※
hèn	hen4	ㄏㄣˋ		恨	1	1	※
hēng	heng1	ㄏㄥ		哼	4	3	※
héng	heng2	ㄏㄥˊ		恒	9	9	※
hèng	heng4	ㄏㄥˋ		横	3	2	※
hm	hm5	˙ㄏㄇ		噷	1		
hng	hng5	˙ㄏㄫ		哼	1		
hōng	hong1	ㄏㄨㄥ		烘	6	9	※
hóng	hong2	ㄏㄨㄥˊ		弘	22	23	※
hǒng	hong3	ㄏㄨㄥˇ		哄	1	2	※
hòng	hong4	ㄏㄨㄥˋ		哄	4	3	※
hōu	hou1	ㄏㄡ		齁	1	2	※
hóu	hou2	ㄏㄡˊ		喉	9	8	※
hǒu	hou3	ㄏㄡˇ		吼	2	2	※
hòu	hou4	ㄏㄡˋ		后	10	9	※
hū	hu1	ㄏㄨ		呼	15	20	※
hú	hu2	ㄏㄨˊ		狐	25	26	※
hǔ	hu3	ㄏㄨˇ		虎	4	5	※
hù	hu4	ㄏㄨˋ		互	20	24	※
huā	hua1	ㄏㄨㄚ		花	4	5	※
huá	hua2	ㄏㄨㄚˊ		猾	10	10	※
huǎ	hua3	ㄏㄨㄚˇ					‽
huà	hua4	ㄏㄨㄚˋ		画	9	12	※
huái	huai2	ㄏㄨㄞˊ		怀	6	11	※
huài	huai4	ㄏㄨㄞˋ		坏	1	2	※
huān	huan1	ㄏㄨㄢ		欢	4	6	※
huán	huan2	ㄏㄨㄢˊ		环	22	19	※
huǎn	huan3	ㄏㄨㄢˇ		缓	2	6	※
huàn	huan4	ㄏㄨㄢˋ		幻	17	17	※
huāng	huang1	ㄏㄨㄤ		荒	4	4	※
huáng	huang2	ㄏㄨㄤˊ		皇	25	24	※
huǎng	huang3	ㄏㄨㄤˇ		恍	4	6	※
huàng	huang4	ㄏㄨㄤˋ		晃	5	1	※
huang	huang5	˙ㄏㄨㄤ		慌		1	
huī	hui1	ㄏㄨㄟ		灰	17	19	※
huí	hui2	ㄏㄨㄟˊ		回	7	7	※
huǐ	hui3	ㄏㄨㄟˇ		悔	3	8	※
huì	hui4	ㄏㄨㄟˋ		卉	37	33	※
hūn	hun1	ㄏㄨㄣ		昏	7	6	※
hún	hun2	ㄏㄨㄣˊ		浑	5	7	※
hǔn	hun3	ㄏㄨㄣˇ		混		1	
hùn	hun4	ㄏㄨㄣˋ		混	5	6	※
huō	huo1	ㄏㄨㄛ		豁	7	2	※
huó	huo2	ㄏㄨㄛˊ		活	3	2	※
huǒ	huo3	ㄏㄨㄛˇ		火	5	4	※
huò	huo4	ㄏㄨㄛˋ		或	20	29	※
huo	huo5	˙ㄏㄨㄛ		午		2	
jī	ji1	ㄐㄧ	ㄐ丨	机	46	53	※
jí	ji2	ㄐㄧˊ	ㄐ丨ˊ	及	37	54	※
jǐ	ji3	ㄐㄧˇ	ㄐ丨ˇ	己	12	17	※
jì	ji4	ㄐㄧˋ	ㄐ丨ˋ	计	50	59	※
jiā	jia1	ㄐㄧㄚ	ㄐ丨ㄚ	加	23	21	※
jiá	jia2	ㄐㄧㄚˊ	ㄐ丨ㄚˊ	颊	9	17	※
jiǎ	jia3	ㄐㄧㄚˇ	ㄐ丨ㄚˇ	甲	11	12	※
jià	jia4	ㄐㄧㄚˋ	ㄐ丨ㄚˋ	驾	6	8	※
jiān	jian1	ㄐㄧㄢ	ㄐ丨ㄢ	尖	31	43	※
jiǎn	jian3	ㄐㄧㄢˇ	ㄐ丨ㄢˇ	拣	27	24	※
jiàn	jian4	ㄐㄧㄢˋ	ㄐ丨ㄢˋ	件	30	37	※
jiāng	jiang1	ㄐㄧㄤ	ㄐ丨ㄤ	江	12	15	※
jiáng	jiang2	ㄐㄧㄤˊ	ㄐ丨ㄤˊ				‽
jiǎng	jiang3	ㄐㄧㄤˇ	ㄐ丨ㄤˇ	讲	6	5	※
jiàng	jiang4	ㄐㄧㄤˋ	ㄐ丨ㄤˋ	匠	12	9	※
jiāo	jiao1	ㄐㄧㄠ	ㄐ丨ㄠ	交	24	29	※
jiáo	jiao2	ㄐㄧㄠˊ	ㄐ丨ㄠˊ	矫	2	1	※
jiǎo	jiao3	ㄐㄧㄠˇ	ㄐ丨ㄠˇ	狡	21	23	※
jiào	jiao4	ㄐㄧㄠˋ	ㄐ丨ㄠˋ	叫	21	21	※
jiē	jie1	ㄐㄧㄝ	ㄐ丨ㄝ	阶	15	17	※
jié	jie2	ㄐㄧㄝˊ	ㄐ丨ㄝˊ	劫	33	44	※
jiě	jie3	ㄐㄧㄝˇ	ㄐ丨ㄝˇ	姐	4	4	※
jiè	jie4	ㄐㄧㄝˋ	ㄐ丨ㄝˋ	介	17	21	※
jie	jie5	˙ㄐㄧㄝ	˙ㄐ丨ㄝ	价	2		
jīn	jin1	ㄐㄧㄣ	ㄐ丨ㄣ	今	13	14	※
jǐn	jin3	ㄐㄧㄣˇ	ㄐ丨ㄣˇ	紧	11	16	※
jìn	jin4	ㄐㄧㄣˋ	ㄐ丨ㄣˋ	进	25	26	※
jīng	jing1	ㄐㄧㄥ	ㄐ丨ㄥ	京	20	21	※
jǐng	jing3	ㄐㄧㄥˇ	ㄐ丨ㄥˇ	井	12	9	※
jìng	jing4	ㄐㄧㄥˋ	ㄐ丨ㄥˋ	径	20	20	※
jiōng	jiong1	ㄐㄩㄥ		扃	3	4	※
jiǒng	jiong3	ㄐㄩㄥˇ		窘	9	11	※
jiòng	jiong4	ㄐㄩㄥˋ		㑋			‽
jiū	jiu1	ㄐㄧㄡ	ㄐ丨ㄡ	究	10	14	※
jiǔ	jiu3	ㄐㄧㄡˇ	ㄐ丨ㄡˇ	九	7	9	※
jiù	jiu4	ㄐㄧㄡˋ	ㄐ丨ㄡˋ	旧	14	13	※
jū	ju1	ㄐㄩ		居	32	25	※
jú	ju2	ㄐㄩˊ		局	8	21	※
jǔ	ju3	ㄐㄩˇ		矩	15	18	※
jù	ju4	ㄐㄩˋ		巨	31	38	※
juān	juan1	ㄐㄩㄢ		捐	9	11	※
juǎn	juan3	ㄐㄩㄢˇ		卷	3	3	※
juàn	juan4	ㄐㄩㄢˋ		倦	12	14	※
juē	jue1	ㄐㄩㄝ		撅	3	4	※
jué	jue2	ㄐㄩㄝˊ		决	39	52	※
juě	jue3	ㄐㄩㄝˇ		蹶	1	1	※
juè	jue4	ㄐㄩㄝˋ		倔	1	1	※
jūn	jun1	ㄐㄩㄣ		军	11	11	※
jún	jun2	ㄐㄩㄣˊ					‽
jǔn	jun3	ㄐㄩㄣˇ		窘		1	
jùn	jun4	ㄐㄩㄣˋ		俊	18	21	※
kā	ka1	ㄎㄚ		咖	4	3	※
kǎ	ka3	ㄎㄚˇ		咯	5	5	※
kà	ka4	ㄎㄚˋ		喀		2	
kāi	kai1	ㄎㄞ		开	3	3	※
kǎi	kai3	ㄎㄞˇ		凯	10	11	※
kài	kai4	ㄎㄞˋ		忾	4	5	※
kān	kan1	ㄎㄢ		刊	7	7	※
kǎn	kan3	ㄎㄢˇ		坎	8	13	※
kàn	kan4	ㄎㄢˋ		看	8	6	※
kāng	kang1	ㄎㄤ		康	7	6	※
káng	kang2	ㄎㄤˊ		扛	1	1	※
kǎng	kang3	ㄎㄤˇ		慷		2	
kàng	kang4	ㄎㄤˋ		抗	7	7	※
kāo	kao1	ㄎㄠ		尻	1	2	※
kǎo	kao3	ㄎㄠˇ		考	6	7	※
kào	kao4	ㄎㄠˋ		铐	5	3	※
kē	ke1	ㄎㄜ		科	24	22	※
ké	ke2	ㄎㄜˊ		壳	4	5	※
kě	ke3	ㄎㄜˇ		渴	6	7	※
kè	ke4	ㄎㄜˋ		克	14	15	※
kēi	kei1	ㄎㄟ		剋	1		
kēn	ken1	ㄎㄣ		𩎤			‽
kěn	ken3	ㄎㄣˇ		肯	5	5	※
kèn	ken4	ㄎㄣˋ		裉	2	3	※
kēng	keng1	ㄎㄥ		坑	4	9	※
kěng	keng3	ㄎㄥˇ		肯		1	
kōng	kong1	ㄎㄨㄥ		空	7	6	※
kǒng	kong3	ㄎㄨㄥˇ		孔	3	4	※
kòng	kong4	ㄎㄨㄥˋ		控	4	3	※
kōu	kou1	ㄎㄡ		抠	4	3	※
kǒu	kou3	ㄎㄡˇ		口	1	1	※
kòu	kou4	ㄎㄡˋ		叩	6	9	※
kū	ku1	ㄎㄨ		枯	8	6	※
kú	ku2	ㄎㄨˊ		𦛏			‽
kǔ	ku3	ㄎㄨˇ		苦	2	2	※
kù	ku4	ㄎㄨˋ		库	5	5	※
kuā	kua1	ㄎㄨㄚ		夸	2	3	※
kuǎ	kua3	ㄎㄨㄚˇ		垮	2	3	※
kuà	kua4	ㄎㄨㄚˋ		挎	3	3	※
kuāi	kuai1	ㄎㄨㄞ		咼		2	
kuǎi	kuai3	ㄎㄨㄞˇ		㧟	2	1	※
kuài	kuai4	ㄎㄨㄞˋ		快	12	18	※
kuān	kuan1	ㄎㄨㄢ		宽	2	3	※
kuǎn	kuan3	ㄎㄨㄢˇ		款	2	3	※
kuàn	kuan4	ㄎㄨㄢˋ		䤭			‽
kuāng	kuang1	ㄎㄨㄤ		筐	8	8	※
kuáng	kuang2	ㄎㄨㄤˊ		狂	3	3	※
kuǎng	kuang3	ㄎㄨㄤˇ		夼	1	1	※
kuàng	kuang4	ㄎㄨㄤˋ		旷	11	8	※
kuī	kui1	ㄎㄨㄟ		亏	6	7	※
kuí	kui2	ㄎㄨㄟˊ		葵	15	14	※
kuǐ	kui3	ㄎㄨㄟˇ		傀	5	6	※
kuì	kui4	ㄎㄨㄟˋ		馈	10	12	※
kūn	kun1	ㄎㄨㄣ		昆	12	13	※
kǔn	kun3	ㄎㄨㄣˇ		捆	4	7	※
kùn	kun4	ㄎㄨㄣˋ		困	1	2	※
kuò	kuo4	ㄎㄨㄛˋ		阔	10	9	※
lā	la1	ㄌㄚ		垃	6	3	※
lá	la2	ㄌㄚˊ		拉	6	3	※
lǎ	la3	ㄌㄚˇ		拉	2	1	※
là	la4	ㄌㄚˋ		辣	13	8	※
la	la5	˙ㄌㄚ		啦	2	2	※
lái	lai2	ㄌㄞˊ		来	9	13	※
lǎi	lai3	ㄌㄞˇ		襰			‽
lài	lai4	ㄌㄞˋ		睐	7	11	※
lai	lai5	˙ㄌㄞ		𫪁	1		
lán	lan2	ㄌㄢˊ		兰	16	20	※
lǎn	lan3	ㄌㄢˇ		览	8	8	※
làn	lan4	ㄌㄢˋ		烂	2	4	※
lāng	lang1	ㄌㄤ		啷	1	1	※
láng	lang2	ㄌㄤˊ		狼	14	17	※
lǎng	lang3	ㄌㄤˇ		朗	5	3	※
làng	lang4	ㄌㄤˋ		浪	7	4	※
lāo	lao1	ㄌㄠ		捞	1	1	※
láo	lao2	ㄌㄠˊ		劳	9	10	※
lǎo	lao3	ㄌㄠˇ		老	9	10	※
lào	lao4	ㄌㄠˋ		涝	9	9	※
lē	le1	ㄌㄜ			2		
lé	le2	ㄌㄜˊ					‽
lè	le4	ㄌㄜˋ		勒	9	11	※
le	le5	˙ㄌㄜ		了	2	1	※
lēi	lei1	ㄌㄟ		勒	1	1	※
léi	lei2	ㄌㄟˊ		雷	14	13	※
lěi	lei3	ㄌㄟˇ		垒	11	12	※
lèi	lei4	ㄌㄟˋ		类	7	9	※
lei	lei5	˙ㄌㄟ		嘞	1		
lēng	leng1	ㄌㄥ		棱	2	1	※
léng	leng2	ㄌㄥˊ		棱	5	5	※
lěng	leng3	ㄌㄥˇ		冷	1	1	※
lèng	leng4	ㄌㄥˋ		愣	3	3	※
lī	li1	ㄌㄧ	ㄌ丨	哩	1	1	※
lí	li2	ㄌㄧˊ	ㄌ丨ˊ	厘	30	35	※
lǐ	li3	ㄌㄧˇ	ㄌ丨ˇ	礼	16	18	※
lì	li4	ㄌㄧˋ	ㄌ丨ˋ	力	56	60	※
li	li5	˙ㄌㄧ	˙ㄌ丨	里	2	1	※
liǎ	lia3	ㄌㄧㄚˇ	ㄌ丨ㄚˇ	俩	1	1	※
liān	lian1	ㄌㄧㄢ	ㄌ丨ㄢ				‽
lián	lian2	ㄌㄧㄢˊ	ㄌ丨ㄢˊ	连	17	22	※
liǎn	lian3	ㄌㄧㄢˇ	ㄌ丨ㄢˇ	敛	5	3	※
liàn	lian4	ㄌㄧㄢˋ	ㄌ丨ㄢˋ	练	10	14	※
liáng	liang2	ㄌㄧㄤˊ	ㄌ丨ㄤˊ	良	13	12	※
liǎng	liang3	ㄌㄧㄤˇ	ㄌ丨ㄤˇ	两	8	6	※
liàng	liang4	ㄌㄧㄤˋ	ㄌ丨ㄤˋ	亮	11	10	※
liāo	liao1	ㄌㄧㄠ	ㄌ丨ㄠ	撩	2	1	※
liáo	liao2	ㄌㄧㄠˊ	ㄌ丨ㄠˊ	疗	19	22	※
liǎo	liao3	ㄌㄧㄠˇ	ㄌ丨ㄠˇ	了	5	5	※
liào	liao4	ㄌㄧㄠˋ	ㄌ丨ㄠˋ	料	9	8	※
liē	lie1	ㄌㄧㄝ	ㄌ丨ㄝ	咧	1	1	※
lié	lie2	ㄌㄧㄝˊ	ㄌ丨ㄝˊ	咧		1	
liě	lie3	ㄌㄧㄝˇ	ㄌ丨ㄝˇ	咧	2	1	※
liè	lie4	ㄌㄧㄝˋ	ㄌ丨ㄝˋ	列	16	15	※
lie	lie5	˙ㄌㄧㄝ	˙ㄌ丨ㄝ	咧	1		
līn	lin1	ㄌㄧㄣ	ㄌ丨ㄣ	拎	1		
lín	lin2	ㄌㄧㄣˊ	ㄌ丨ㄣˊ	林	22	21	※
lǐn	lin3	ㄌㄧㄣˇ	ㄌ丨ㄣˇ	凛	5	5	※
lìn	lin4	ㄌㄧㄣˋ	ㄌ丨ㄣˋ	吝	6	5	※
līng	ling1	ㄌㄧㄥ	ㄌ丨ㄥ	拎		1	
líng	ling2	ㄌㄧㄥˊ	ㄌ丨ㄥˊ	玲	35	33	※
lǐng	ling3	ㄌㄧㄥˇ	ㄌ丨ㄥˇ	岭	3	2	※
lìng	ling4	ㄌㄧㄥˋ	ㄌ丨ㄥˋ	另	3	2	※
liū	liu1	ㄌㄧㄡ	ㄌ丨ㄡ	溜	4	1	※
liú	liu2	ㄌㄧㄡˊ	ㄌ丨ㄡˊ	留	20	19	※
liǔ	liu3	ㄌㄧㄡˇ	ㄌ丨ㄡˇ	柳	5	3	※
liù	liu4	ㄌㄧㄡˋ	ㄌ丨ㄡˋ	六	9	9	※
lō	lo1	ㄌㄛ					‽
lo	lo5	˙ㄌㄛ		咯	1	1	※
lōng	long1	ㄌㄨㄥ		隆	1		
lóng	long2	ㄌㄨㄥˊ		龙	18	16	※
lǒng	long3	ㄌㄨㄥˇ		拢	6	5	※
lòng	long4	ㄌㄨㄥˋ		弄	3	1	※
lōu	lou1	ㄌㄡ		搂	2	1	※
lóu	lou2	ㄌㄡˊ		娄	12	15	※
lǒu	lou3	ㄌㄡˇ		篓	3	4	※
lòu	lou4	ㄌㄡˋ		陋	5	6	※
lou	lou5	˙ㄌㄡ		喽	1	1	※
lū	lu1	ㄌㄨ		撸	2	1	※
lú	lu2	ㄌㄨˊ		卢	16	18	※
lǔ	lu3	ㄌㄨˇ		卤	7	8	※
lù	lu4	ㄌㄨˋ		录	35	39	※
lu	lu5	˙ㄌㄨ		氇	1		
lǖ	lü1	ㄌㄩ					‽
lǘ	lü2	ㄌㄩˊ		驴	4	6	※
lǚ	lü3	ㄌㄩˇ		吕	13	14	※
lǜ	lü4	ㄌㄩˋ		律	11	10	※
luán	luan2	ㄌㄨㄢˊ		峦	10	9	※
luǎn	luan3	ㄌㄨㄢˇ		卵	1	2	※
luàn	luan4	ㄌㄨㄢˋ		乱	1	1	※
lüán	lüan2	ㄌㄩㄢˊ		孿		2	
lüǎn	lüan3	ㄌㄩㄢˇ		孌		2	
lüē	lüe1	ㄌㄩㄝ					‽
lüě	lüe3	ㄌㄩㄝˇ					‽
lüè	lüe4	ㄌㄩㄝˋ		略	5	3	※
lūn	lun1	ㄌㄨㄣ		抡	1	1	※
lún	lun2	ㄌㄨㄣˊ		仑	9	10	※
lǔn	lun3	ㄌㄨㄣˇ		𫭢	1		
lùn	lun4	ㄌㄨㄣˋ		论	1	1	※
luō	luo1	ㄌㄨㄛ		啰	3	3	※
luó	luo2	ㄌㄨㄛˊ		罗	15	14	※
luǒ	luo3	ㄌㄨㄛˇ		裸	5	10	※
luò	luo4	ㄌㄨㄛˋ		洛	14	15	※
luo	luo5	˙ㄌㄨㄛ		啰	1		
m̄	m1	˙ㄇ		姆	1		
ḿ	m2	ㄇˊ		呣	2		
m̀	m4	ㄇˋ		呣	1		
mā	ma1	ㄇㄚ		妈	5	4	※
má	ma2	ㄇㄚˊ		麻	4	6	※
mǎ	ma3	ㄇㄚˇ		马	6	7	※
mà	ma4	ㄇㄚˋ		骂	4	4	※
ma	ma5	˙ㄇㄚ		嘛	3	4	※
māi	mai1	ㄇㄞ					‽
mái	mai2	ㄇㄞˊ		埋	2	3	※
mǎi	mai3	ㄇㄞˇ		买	2	1	※
mài	mai4	ㄇㄞˋ		迈	8	6	※
mān	man1	ㄇㄢ		嫚	2	2	※
mán	man2	ㄇㄢˊ		蛮	9	17	※
mǎn	man3	ㄇㄢˇ		满	2	2	※
màn	man4	ㄇㄢˋ		曼	12	13	※
māng	mang1	ㄇㄤ		牤	1		
máng	mang2	ㄇㄤˊ		忙	12	21	※
mǎng	mang3	ㄇㄤˇ		莽	3	6	※
màng	mang4	ㄇㄤˋ		㤶			‽
māo	mao1	ㄇㄠ		猫	1	2	※
máo	mao2	ㄇㄠˊ		毛	12	13	※
mǎo	mao3	ㄇㄠˇ		卯	6	5	※
mào	mao4	ㄇㄠˋ		茂	19	19	※
mē	me1	ㄇㄜ		嚒			‽
mè	me4	ㄇㄜˋ		嚰			‽
me	me5	˙ㄇㄜ		么	3	2	※
méi	mei2	ㄇㄟˊ		眉	22	22	※
měi	mei3	ㄇㄟˇ		每	6	7	※
mèi	mei4	ㄇㄟˋ		妹	9	13	※
mēn	men1	ㄇㄣ		闷	1	2	※
mén	men2	ㄇㄣˊ		门	6	7	※
měn	men3	ㄇㄣˇ		悗		1	
mèn	men4	ㄇㄣˋ		闷	4	4	※
men	men5	˙ㄇㄣ		们	1	1	※
mēng	meng1	ㄇㄥ		蒙	1	1	※
méng	meng2	ㄇㄥˊ		萌	17	31	※
měng	meng3	ㄇㄥˇ		猛	10	12	※
mèng	meng4	ㄇㄥˋ		孟	2	3	※
mī	mi1	ㄇㄧ	ㄇ丨	咪	2	3	※
mí	mi2	ㄇㄧˊ	ㄇ丨ˊ	迷	15	18	※
mǐ	mi3	ㄇㄧˇ	ㄇ丨ˇ	米	8	12	※
mì	mi4	ㄇㄧˋ	ㄇ丨ˋ	觅	14	23	※
miān	mian1	ㄇㄧㄢ	ㄇ丨ㄢ				‽
mián	mian2	ㄇㄧㄢˊ	ㄇ丨ㄢˊ	眠	3	9	※
miǎn	mian3	ㄇㄧㄢˇ	ㄇ丨ㄢˇ	免	18	17	※
miàn	mian4	ㄇㄧㄢˋ	ㄇ丨ㄢˋ	面	2	3	※
miāo	miao1	ㄇㄧㄠ	ㄇ丨ㄠ	喵	1	1	※
miáo	miao2	ㄇㄧㄠˊ	ㄇ丨ㄠˊ	苗	4	3	※
miǎo	miao3	ㄇㄧㄠˇ	ㄇ丨ㄠˇ	秒	9	8	※
miào	miao4	ㄇㄧㄠˋ	ㄇ丨ㄠˋ	妙	3	3	※
miē	mie1	ㄇㄧㄝ	ㄇ丨ㄝ	乜	2	3	※
mié	mie2	ㄇㄧㄝˊ	ㄇ丨ㄝˊ	𥄲			‽
miè	mie4	ㄇㄧㄝˋ	ㄇ丨ㄝˋ	灭	4	7	※
mīn	min1	ㄇㄧㄣ	ㄇ丨ㄣ				‽
mín	min2	ㄇㄧㄣˊ	ㄇ丨ㄣˊ	民	8	11	※
mǐn	min3	ㄇㄧㄣˇ	ㄇ丨ㄣˇ	皿	15	15	※
míng	ming2	ㄇㄧㄥˊ	ㄇ丨ㄥˊ	明	13	15	※
mǐng	ming3	ㄇㄧㄥˇ	ㄇ丨ㄥˇ	酩	1	5	※
mìng	ming4	ㄇㄧㄥˋ	ㄇ丨ㄥˋ	命	1	2	※
miú	miu2	ㄇㄧㄡˊ	ㄇ丨ㄡˊ				‽
miǔ	miu3	ㄇㄧㄡˇ	ㄇ丨ㄡˇ	𨱯			‽
miù	miu4	ㄇㄧㄡˋ	ㄇ丨ㄡˋ	谬	2	2	※
mō	mo1	ㄇㄛ		摸	1	1	※
mó	mo2	ㄇㄛˊ		馍	15	16	※
mǒ	mo3	ㄇㄛˇ		抹	1	1	※
mò	mo4	ㄇㄛˋ		茉	31	40	※
mo	mo5	˙ㄇㄛ					‽
mōu	mou1	ㄇㄡ		哞	1		
móu	mou2	ㄇㄡˊ		谋	8	11	※
mǒu	mou3	ㄇㄡˇ		某	1	3	※
mòu	mou4	ㄇㄡˋ		懋		6	
mú	mu2	ㄇㄨˊ		模	2	3	※
mǔ	mu3	ㄇㄨˇ		母	11	8	※
mù	mu4	ㄇㄨˋ		木	16	19	※
ń	n2	ㄋˊ		嗯	2		
ň	n3	ㄋˇ		嗯	1		
ǹ	n4	ㄋˋ		嗯	1		
nā	na1	ㄋㄚ		那	2	1	※
ná	na2	ㄋㄚˊ		拿	2	3	※
nǎ	na3	ㄋㄚˇ		那	3	2	※
nà	na4	ㄋㄚˋ		纳	10	11	※
na	na5	˙ㄋㄚ		哪	2	1	※
nái	nai2	ㄋㄞˊ		腉			‽
nǎi	nai3	ㄋㄞˇ		乃	7	6	※
nài	nai4	ㄋㄞˋ		奈	9	7	※
nān	nan1	ㄋㄢ		囡	1	1	※
nán	nan2	ㄋㄢˊ		男	6	8	※
nǎn	nan3	ㄋㄢˇ		赧	3	4	※
nàn	nan4	ㄋㄢˋ		难	2	1	※
nāng	nang1	ㄋㄤ		囊	2		
náng	nang2	ㄋㄤˊ		囊	2	1	※
nǎng	nang3	ㄋㄤˇ		曩	3	2	※
nàng	nang4	ㄋㄤˋ		齉	1	1	※
nang	nang5	˙ㄋㄤ		囔		1	
nāo	nao1	ㄋㄠ		孬	1	1	※
náo	nao2	ㄋㄠˊ		挠	11	11	※
nǎo	nao3	ㄋㄠˇ		恼	4	3	※
nào	nao4	ㄋㄠˋ		闹	3	3	※
né	ne2	ㄋㄜˊ		哪	1		
nè	ne4	ㄋㄜˋ		眲	3	2	※
ne	ne5	˙ㄋㄜ		呢	2	1	※
néi	nei2	ㄋㄟˊ		𨡌			‽
něi	nei3	ㄋㄟˇ		馁	2	3	※
nèi	nei4	ㄋㄟˋ		内	2	2	※
něn	nen3	ㄋㄣˇ					‽
nèn	nen4	ㄋㄣˋ		嫩	3	1	※
néng	neng2	ㄋㄥˊ		能	1	2	※
něng	neng3	ㄋㄥˇ		𠹌			‽
ńg	ng2	ㄫˊ		嗯	2		
ňg	ng3	ㄫˇ		嗯	1		
ǹg	ng4	ㄫˋ		嗯	1		
nī	ni1	ㄋㄧ	ㄋ丨	妮	1		
ní	ni2	ㄋㄧˊ	ㄋ丨ˊ	尼	17	17	※
nǐ	ni3	ㄋㄧˇ	ㄋ丨ˇ	拟	4	9	※
nì	ni4	ㄋㄧˋ	ㄋ丨ˋ	逆	13	10	※
niān	nian1	ㄋㄧㄢ	ㄋ丨ㄢ	拈	2	1	※
nián	nian2	ㄋㄧㄢˊ	ㄋ丨ㄢˊ	年	4	7	※
niǎn	nian3	ㄋㄧㄢˇ	ㄋ丨ㄢˇ	捻	7	8	※
niàn	nian4	ㄋㄧㄢˋ	ㄋ丨ㄢˋ	念	3	4	※
niáng	niang2	ㄋㄧㄤˊ	ㄋ丨ㄤˊ	娘	1	2	※
niǎng	niang3	ㄋㄧㄤˇ	ㄋ丨ㄤˇ				‽
niàng	niang4	ㄋㄧㄤˋ	ㄋ丨ㄤˋ	酿	1	1	※
niǎo	niao3	ㄋㄧㄠˇ	ㄋ丨ㄠˇ	鸟	4	7	※
niào	niao4	ㄋㄧㄠˋ	ㄋ丨ㄠˋ	尿	3	2	※
niē	nie1	ㄋㄧㄝ	ㄋ丨ㄝ	捏	1	2	※
nié	nie2	ㄋㄧㄝˊ	ㄋ丨ㄝˊ	苶	1	1	※
niè	nie4	ㄋㄧㄝˋ	ㄋ丨ㄝˋ	聂	20	25	※
nīn	nin1	ㄋㄧㄣ	ㄋ丨ㄣ				‽
nín	nin2	ㄋㄧㄣˊ	ㄋ丨ㄣˊ	您	2	2	※
nǐn	nin3	ㄋㄧㄣˇ	ㄋ丨ㄣˇ	拰			‽
nìn	nin4	ㄋㄧㄣˋ	ㄋ丨ㄣˋ				‽
níng	ning2	ㄋㄧㄥˊ	ㄋ丨ㄥˊ	狞	9	10	※
nǐng	ning3	ㄋㄧㄥˇ	ㄋ丨ㄥˇ	拧	1	1	※
nìng	ning4	ㄋㄧㄥˋ	ㄋ丨ㄥˋ	泞	5	5	※
niū	niu1	ㄋㄧㄡ	ㄋ丨ㄡ	妞	1	1	※
niú	niu2	ㄋㄧㄡˊ	ㄋ丨ㄡˊ	牛	1	1	※
niǔ	niu3	ㄋㄧㄡˇ	ㄋ丨ㄡˇ	扭	6	6	※
niù	niu4	ㄋㄧㄡˋ	ㄋ丨ㄡˋ	拗	1	1	※
nóng	nong2	ㄋㄨㄥˊ		农	7	9	※
nǒng	nong3	ㄋㄨㄥˇ		繷			‽
nòng	nong4	ㄋㄨㄥˋ		弄	1	1	※
nóu	nou2	ㄋㄡˊ		䨲		2	
nǒu	nou3	ㄋㄡˇ		𡝦			‽
nòu	nou4	ㄋㄡˋ		耨	1	2	※
nú	nu2	ㄋㄨˊ		奴	5	5	※
nǔ	nu3	ㄋㄨˇ		努	4	3	※
nù	nu4	ㄋㄨˋ		怒	2	2	※
nǘ	nü2	ㄋㄩˊ					‽
nǚ	nü3	ㄋㄩˇ		女	3	3	※
nǜ	nü4	ㄋㄩˋ		衄	3	4	※
nuán	nuan2	ㄋㄨㄢˊ		奻			‽
