# 中華語文大辭典（兩岸詞典）：音节统计
# 共1311个音节。
# 备注：修正原文中部分字母格式：ɑ->a, ɡ->g
#
# 拼音	注音	例字	字数

cāng	ㄘㄤ	倉（仓）	6
cáng	ㄘㄤˊ	藏	1
cāo	ㄘㄠ	幧	3
cáo	ㄘㄠˊ	傮	8
cǎo	ㄘㄠˇ	愺	5
cào	ㄘㄠˋ	肏	1
cè	ㄘㄜˋ	側（侧）	12
cēn	ㄘㄣ	參（参）	3
cén	ㄘㄣˊ	岑	2
céng	ㄘㄥˊ	層（层）	3
cèng	ㄘㄥˋ	蹭	1
chā	ㄔㄚ	偛	13
chá	ㄔㄚˊ	垞	14
chǎ	ㄔㄚˇ	蹅	2
chà	ㄔㄚˋ	侘	10
chāi	ㄔㄞ	差	3
chái	ㄔㄞˊ	儕（侪）	6
chǎi	ㄔㄞˇ	茝	1
chài	ㄔㄞˋ	囆	3
chān	ㄔㄢ	幨	8
chán	ㄔㄢˊ	僝	26
chǎn	ㄔㄢˇ	剗（刬）	15
chàn	ㄔㄢˋ	剗（刬）	6
chāng	ㄔㄤ	倀（伥）	9
cháng	ㄔㄤˊ	倘	12
chǎng	ㄔㄤˇ	場（场）	7
chàng	ㄔㄤˋ	倡	7
chāo	ㄔㄠ	剿	8
cháo	ㄔㄠˊ	嘲	8
chǎo	ㄔㄠˇ	吵	3
chào	ㄔㄠˋ	耖	1
chē	ㄔㄜ	俥	4
chě	ㄔㄜˇ	哆	5
chè	ㄔㄜˋ	呫	9
chēn	ㄔㄣ	嗔	8
chén	ㄔㄣˊ	伔	15
chěn	ㄔㄣˇ	墋	5
chèn	ㄔㄣˋ	儭	8
chēng	ㄔㄥ	偁	17
chéng	ㄔㄥˊ	丞	28
chěng	ㄔㄥˇ	逞	3
chèng	ㄔㄥˋ	牚	4
chī	ㄔ	吃	20
chí	ㄔˊ	匙	16
chǐ	ㄔˇ	伬	12
chì	ㄔˋ	傺	20
chōng	ㄔㄨㄥ	充	13
chóng	ㄔㄨㄥˊ	崇	8
chǒng	ㄔㄨㄥˇ	埫	2
chòng	ㄔㄨㄥˋ	徸	4
chōu	ㄔㄡ	婤	9
chóu	ㄔㄡˊ	仇	18
chǒu	ㄔㄡˇ	丑	6
chòu	ㄔㄡˋ	殠	2
chū	ㄔㄨ	出	4
chú	ㄔㄨˊ	儲（储）	18
chǔ	ㄔㄨˇ	憷	10
chù	ㄔㄨˋ	亍	18
chuā	ㄔㄨㄚ	欻	1
chuǎ	ㄔㄨㄚˇ	抓	1
chuāi	ㄔㄨㄞ	搋	1
chuái	ㄔㄨㄞˊ	膗	1
chuǎi	ㄔㄨㄞˇ	揣	1
chuài	ㄔㄨㄞˋ	嘬	2
chuān	ㄔㄨㄢ	巛	4
chuán	ㄔㄨㄢˊ	傳（传）	9
chuǎn	ㄔㄨㄢˇ	喘	5
chuàn	ㄔㄨㄢˋ	串	3
chuāng	ㄔㄨㄤ	刱（创）	6
chuáng	ㄔㄨㄤˊ	噇	5
chuǎng	ㄔㄨㄤˇ	闖（闯）	1
chuàng	ㄔㄨㄤˋ	凔	5
chuī	ㄔㄨㄟ	吹	2
chuí	ㄔㄨㄟˊ	倕	14
chūn	ㄔㄨㄣ	堾	9
chún	ㄔㄨㄣˊ	唇	11
chǔn	ㄔㄨㄣˇ	堾	5
chuō	ㄔㄨㄛ	戳	1
chuò	ㄔㄨㄛˋ	吷	13
cī	ㄘ	偨	7
cí	ㄘˊ	慈	13
cǐ	ㄘˇ	㠿	6
cì	ㄘˋ	伺	10
cōng	ㄘㄨㄥ	匆	15
cóng	ㄘㄨㄥˊ	叢（丛）	9
cǒu	ㄘㄡˇ	娵	1
còu	ㄘㄡˋ	楱	4
cū	ㄘㄨ	粗	2
cú	ㄘㄨˊ	徂	2
cǔ	ㄘㄨˇ	蔖	1
cù	ㄘㄨˋ	促	15
cuān	ㄘㄨㄢ	攛（撺）	3
cuán	ㄘㄨㄢˊ	巑	3
cuàn	ㄘㄨㄢˋ	爨	4
cuī	ㄘㄨㄟ	催	8
cuǐ	ㄘㄨㄟˇ	洒	3
cuì	ㄘㄨㄟˋ	倅	15
cūn	ㄘㄨㄣ	村	4
cún	ㄘㄨㄣˊ	存	3
cǔn	ㄘㄨㄣˇ	刌	2
cùn	ㄘㄨㄣˋ	吋	2
cuō	ㄘㄨㄛ	差	5
cuó	ㄘㄨㄛˊ	嵖	8
cuǒ	ㄘㄨㄛˇ	脞	1
cuò	ㄘㄨㄛˋ	侳	12
dā	ㄉㄚ	嗒	7
dá	ㄉㄚˊ	呾	19
dǎ	ㄉㄚˇ	打	1
dà	ㄉㄚˋ	大	1
da	˙ㄉㄚ	咑	3
dāi	ㄉㄞ	呆	3
dǎi	ㄉㄞˇ	傣	3
dài	ㄉㄞˋ	代	28
dān	ㄉㄢ	丹	16
dǎn	ㄉㄢˇ	亶	7
dàn	ㄉㄢˋ	亶	32
dāng	ㄉㄤ	噹（当）	7
dǎng	ㄉㄤˇ	党	8
dàng	ㄉㄤˋ	壋（垱）	16
dāo	ㄉㄠ	刀	7
dáo	ㄉㄠˊ	捯	1
dǎo	ㄉㄠˇ	倒	6
dào	ㄉㄠˋ	倒	11
dē	ㄉㄜ	嘚	1
dé	ㄉㄜˊ	得	3
de	˙ㄉㄜ	厎	5
děi	ㄉㄟˇ	得	1
dēng	ㄉㄥ	㲪	7
děng	ㄉㄥˇ	戥	2
dèng	ㄉㄥˋ	僜	11
dī	ㄉ丨	低	10
dí	ㄉ丨ˊ	儥	20
