# 中華語文大辭典（兩岸詞典）：音节统计
# 共1311个音节。
# 备注：修正原文中部分字母格式：ɑ->a, ɡ->g
#
# 拼音	注音	例字	字数

miáo	ㄇ丨ㄠˊ	媌	6
miǎo	ㄇ丨ㄠˇ	杪	9
miào	ㄇ丨ㄠˋ	妙	4
miē	ㄇ丨ㄝ	乜	3
miè	ㄇ丨ㄝˋ	䁾	10
mín	ㄇ丨ㄣˊ	䡑	13
mǐn	ㄇ丨ㄣˇ	僶	18
míng	ㄇ丨ㄥˊ	冥	17
mìng	ㄇ丨ㄥˋ	命	1
miù	ㄇ丨ㄡˋ	繆（缪）	2
mō	ㄇㄛ	摸	1
mó	ㄇㄛˊ	劘	15
mǒ	ㄇㄛˇ	抹	1
mò	ㄇㄛˋ	万	38
móu	ㄇㄡˊ	侔	12
mǒu	ㄇㄡˇ	某	2
mòu	ㄇㄡˋ	愗	1
mú	ㄇㄨˊ	毪	2
mǔ	ㄇㄨˇ	坶	9
mù	ㄇㄨˋ	仫	21
nā	ㄋㄚ	那	1
ná	ㄋㄚˊ	南	6
nǎ	ㄋㄚˇ	乸	3
nà	ㄋㄚˋ	內（内）	12
na	˙ㄋㄚ	哪	1
nǎi	ㄋㄞˇ	乃	9
nài	ㄋㄞˋ	佴	10
nān	ㄋㄢ	囡	1
nán	ㄋㄢˊ	南	8
nǎn	ㄋㄢˇ	戁	5
nàn	ㄋㄢˋ	婻	2
nāng	ㄋㄤ	囔	1
náng	ㄋㄤˊ	囊	2
nǎng	ㄋㄤˇ	攮	4
nàng	ㄋㄤˋ	齉	1
nāo	ㄋㄠ	孬	1
náo	ㄋㄠˊ	呶	13
nǎo	ㄋㄠˇ	堖（垴）	4
nào	ㄋㄠˋ	淖	2
nè	ㄋㄜˋ	吶（呐）	3
ne	˙ㄋㄜ	吶（呐）	2
něi	ㄋㄟˇ	哪	3
nèi	ㄋㄟˋ	內（内）	2
nèn	ㄋㄣˋ	媆	2
néng	ㄋㄥˊ	儜	2
ní	ㄋ丨ˊ	倪	20
nǐ	ㄋ丨ˇ	伲	14
nì	ㄋ丨ˋ	伲	12
niān	ㄋ丨ㄢ	蔫	1
nián	ㄋ丨ㄢˊ	哖	8
niǎn	ㄋ丨ㄢˇ	拈	9
niàn	ㄋ丨ㄢˋ	唸（念）	4
niáng	ㄋ丨ㄤˊ	娘	2
niàng	ㄋ丨ㄤˋ	釀（酿）	1
niǎo	ㄋ丨ㄠˇ	嫋（袅）	8
niào	ㄋ丨ㄠˋ	尿	3
niē	ㄋ丨ㄝ	捏	1
niè	ㄋ丨ㄝˋ	乜	28
nín	ㄋ丨ㄣˊ	您	1
níng	ㄋ丨ㄥˊ	凝	10
nǐng	ㄋ丨ㄥˇ	擰（拧）	1
nìng	ㄋ丨ㄥˋ	佞	6
niū	ㄋ丨ㄡ	妞	1
niú	ㄋ丨ㄡˊ	牛	1
niǔ	ㄋ丨ㄡˇ	忸	6
niù	ㄋ丨ㄡˋ	拗	1
nóng	ㄋㄨㄥˊ	儂（侬）	8
nòng	ㄋㄨㄥˋ	弄	1
nòu	ㄋㄡˋ	檽	3
nú	ㄋㄨˊ	奴	4
nǔ	ㄋㄨˇ	努	5
nù	ㄋㄨˋ	傉	2
nǚ	ㄋㄩˇ	女	3
nǜ	ㄋㄩˋ	女	4
nuǎn	ㄋㄨㄢˇ	暖	3
nüè	ㄋㄩㄝˋ	嚯	4
nuó	ㄋㄨㄛˊ	儺（傩）	6
nuǒ	ㄋㄨㄛˇ	𡛖	1
nuò	ㄋㄨㄛˋ	喏	7
ō	ㄛ	呵	2
ó	ㄛˊ	哦	1
ǒ	ㄛˇ	嚄	1
ōu	ㄡ	區（区）	14
ǒu	ㄡˇ	偶	7
òu	ㄡˋ	嘔（呕）	3
pā	ㄆㄚ	啪	5
pá	ㄆㄚˊ	扒	8
pà	ㄆㄚˋ	帊	4
pāi	ㄆㄞ	拍	2
pái	ㄆㄞˊ	俳	6
pǎi	ㄆㄞˇ	排	1
pài	ㄆㄞˋ	派	3
pān	ㄆㄢ	攀	4
pán	ㄆㄢˊ	媻	13
pǎn	ㄆㄢˇ	坢	1
pàn	ㄆㄢˋ	判	12
pāng	ㄆㄤ	乓	5
páng	ㄆㄤˊ	傍	13
pǎng	ㄆㄤˇ	嗙	2
pàng	ㄆㄤˋ	胖	1
pāo	ㄆㄠ	拋（抛）	3
páo	ㄆㄠˊ	刨	12
pǎo	ㄆㄠˇ	跑	1
pào	ㄆㄠˋ	包	8
pēi	ㄆㄟ	呸	8
péi	ㄆㄟˊ	培	6
pèi	ㄆㄟˋ	佩	11
pēn	ㄆㄣ	噴（喷）	3
pén	ㄆㄣˊ	湓	3
pèn	ㄆㄣˋ	噴（喷）	1
pēng	ㄆㄥ	嘭	10
péng	ㄆㄥˊ	倗	21
pěng	ㄆㄥˇ	剻	3
pèng	ㄆㄥˋ	掽	4
pī	ㄆ丨	丕	21
pí	ㄆ丨ˊ	啤	32
pǐ	ㄆ丨ˇ	仳	10
pì	ㄆ丨ˋ	䡟	14
piān	ㄆ丨ㄢ	偏	7
pián	ㄆ丨ㄢˊ	便	9
piàn	ㄆ丨ㄢˋ	片	2
piāo	ㄆ丨ㄠ	嘌	7
piáo	ㄆ丨ㄠˊ	嫖	4
piǎo	ㄆ丨ㄠˇ	摽	9
piào	ㄆ丨ㄠˋ	僄	6
piē	ㄆ丨ㄝ	撇	4
piě	ㄆ丨ㄝˇ	䥕（𬭯）	5
piè	ㄆ丨ㄝˋ	嫳	1
pīn	ㄆ丨ㄣ	姘	3
pín	ㄆ丨ㄣˊ	嚬	9
pǐn	ㄆ丨ㄣˇ	品	1
pìn	ㄆ丨ㄣˋ	牝	1
pīng	ㄆ丨ㄥ	乒	5
píng	ㄆ丨ㄥˊ	坪	22
pìng	ㄆ丨ㄥˋ	聘	1
pō	ㄆㄛ	坡	5
pó	ㄆㄛˊ	婆	7
pǒ	ㄆㄛˇ	叵	4
pò	ㄆㄛˋ	哱	13
pōu	ㄆㄡ	吥	1
póu	ㄆㄡˊ	抔	5
pǒu	ㄆㄡˇ	剖	5
pū	ㄆㄨ	仆	10
pú	ㄆㄨˊ	仆	22
pǔ	ㄆㄨˇ	圃	8
pù	ㄆㄨˋ	暴	5
qī	ㄑ丨	七	25
qí	ㄑ丨ˊ	亓	52
qǐ	ㄑ丨ˇ	乞	15
qì	ㄑ丨ˋ	亟	34
qiā	ㄑ丨ㄚ	掐	4
qiá	ㄑ丨ㄚˊ	拤	1
qiǎ	ㄑ丨ㄚˇ	卡	1
qià	ㄑ丨ㄚˋ	帢	4
qiān	ㄑ丨ㄢ	㪁	36
qián	ㄑ丨ㄢˊ	乾	20
qiǎn	ㄑ丨ㄢˇ	嗛	6
qiàn	ㄑ丨ㄢˋ	㪁	16
qiāng	ㄑ丨ㄤ	將（将）	18
qiáng	ㄑ丨ㄤˊ	嬙（嫱）	11
qiǎng	ㄑ丨ㄤˇ	強（强）	6
qiàng	ㄑ丨ㄤˋ	唴	5
qiāo	ㄑ丨ㄠ	喿	16
qiáo	ㄑ丨ㄠˊ	僑（侨）	19
qiǎo	ㄑ丨ㄠˇ	巧	3
qiào	ㄑ丨ㄠˋ	俏	12
qiē	ㄑ丨ㄝ	切	1
qié	ㄑ丨ㄝˊ	伽	3
qiě	ㄑ丨ㄝˇ	且	1
qiè	ㄑ丨ㄝˋ	切	12
qīn	ㄑ丨ㄣ	侵	10
qín	ㄑ丨ㄣˊ	㪁	19
qǐn	ㄑ丨ㄣˇ	坅	6
qìn	ㄑ丨ㄣˋ	唚（吣）	5
qīng	ㄑ丨ㄥ	傾（倾）	10
qíng	ㄑ丨ㄥˊ	勍	8
qǐng	ㄑ丨ㄥˇ	廎（庼）	4
qìng	ㄑ丨ㄥˋ	㵾	8
qiōng	ㄑㄩㄥ	穹	3
qióng	ㄑㄩㄥˊ	嬛	16
qiū	ㄑ丨ㄡ	丘	17
qiú	ㄑ丨ㄡˊ	仇	26
qiǔ	ㄑ丨ㄡˇ	糗	1
qū	ㄑㄩ	佉	20
qú	ㄑㄩˊ	劬	23
qǔ	ㄑㄩˇ	取	5
qù	ㄑㄩˋ	刞	7
quān	ㄑㄩㄢ	圈	4
quán	ㄑㄩㄢˊ	佺	25
quǎn	ㄑㄩㄢˇ	汱	5
quàn	ㄑㄩㄢˋ	券	2
quē	ㄑㄩㄝ	缺	3
qué	ㄑㄩㄝˊ	瘸	1
què	ㄑㄩㄝˋ	卻（却）	19
qūn	ㄑㄩㄣ	夋	4
qún	ㄑㄩㄣˊ	群	3
rán	ㄖㄢˊ	呥	6
rǎn	ㄖㄢˇ	冉	5
ráng	ㄖㄤˊ	儴	9
rǎng	ㄖㄤˇ	嚷	2
ràng	ㄖㄤˋ	讓（让）	1
ráo	ㄖㄠˊ	嬈（娆）	5
rǎo	ㄖㄠˇ	扰	2
rào	ㄖㄠˋ	繞（绕）	2
rě	ㄖㄜˇ	喏	3
rè	ㄖㄜˋ	熱（热）	2
rén	ㄖㄣˊ	人	6
rěn	ㄖㄣˇ	忍	6
rèn	ㄖㄣˋ	仞	14
rēng	ㄖㄥ	扔	1
réng	ㄖㄥˊ	䚮	3
rì	ㄖˋ	日	2
róng	ㄖㄨㄥˊ	傛	18
rǒng	ㄖㄨㄥˇ	冗	2
róu	ㄖㄡˊ	厹	10
rǒu	ㄖㄡˇ	煣	1
ròu	ㄖㄡˋ	肉	1
rú	ㄖㄨˊ	侞	22
rǔ	ㄖㄨˇ	乳	2
rù	ㄖㄨˋ	入	11
ruán	ㄖㄨㄢˊ	堧	3
ruǎn	ㄖㄨㄢˇ	媆	8
ruí	ㄖㄨㄟˊ	蕤	1
ruǐ	ㄖㄨㄟˇ	桵	3
ruì	ㄖㄨㄟˋ	叡	8
rún	ㄖㄨㄣˊ	犉	1
rùn	ㄖㄨㄣˋ	潤（润）	2
ruó	ㄖㄨㄛˊ	挼	2
ruò	ㄖㄨㄛˋ	䐞	11
sā	ㄙㄚ	仨	2
sǎ	ㄙㄚˇ	撒	5
sà	ㄙㄚˋ	卅	7
sāi	ㄙㄞ	偲	7
sài	ㄙㄞˋ	塞	2
sān	ㄙㄢ	三	5
sǎn	ㄙㄢˇ	俕	7
sàn	ㄙㄢˋ	俕	3
sāng	ㄙㄤ	喪（丧）	2
sǎng	ㄙㄤˇ	䡦	5
sàng	ㄙㄤˋ	喪（丧）	1
sāo	ㄙㄠ	慅	12
sǎo	ㄙㄠˇ	埽	3
sào	ㄙㄠˋ	埽	5
sè	ㄙㄜˋ	嗇（啬）	14
sēn	ㄙㄣ	森	2
sēng	ㄙㄥ	僧	1
shā	ㄕㄚ	剎（刹）	17
shá	ㄕㄚˊ	啥	1
shǎ	ㄕㄚˇ	傻	1
shà	ㄕㄚˋ	唼	9
shāi	ㄕㄞ	篩（筛）	1
shǎi	ㄕㄞˇ	色	1
shài	ㄕㄞˋ	晒	3
shān	ㄕㄢ	刪（删）	27
shǎn	ㄕㄢˇ	摻（掺）	5
shàn	ㄕㄢˋ	儃	30
shāng	ㄕㄤ	傷（伤）	9
shǎng	ㄕㄤˇ	上	4
shàng	ㄕㄤˋ	上	4
shang	˙ㄕㄤ	裳	1
shāo	ㄕㄠ	捎	11
sháo	ㄕㄠˊ	勺	7
shǎo	ㄕㄠˇ	少	1
shào	ㄕㄠˋ	劭	11
shē	ㄕㄜ	奢	5
shé	ㄕㄜˊ	佘	6
shě	ㄕㄜˇ	捨（舍）	2
shè	ㄕㄜˋ	厙（厍）	15
shéi	ㄕㄟˊ	誰（谁）	1
shēn	ㄕㄣ	㾕	28
shén	ㄕㄣˊ	什	3
shěn	ㄕㄣˇ	哂	10
shèn	ㄕㄣˋ	慎	8
shēng	ㄕㄥ	勝（胜）	11
shéng	ㄕㄥˊ	憴	4
shěng	ㄕㄥˇ	冼	3
shèng	ㄕㄥˋ	乘	9
shī	ㄕ	䌤	20
shí	ㄕˊ	什	18
shǐ	ㄕˇ	使	10
shì	ㄕˋ	世	51
shi	˙ㄕ	匙	1
shōu	ㄕㄡ	收	1
shóu	ㄕㄡˊ	熟	1
shǒu	ㄕㄡˇ	守	5
shòu	ㄕㄡˋ	受	9
shū	ㄕㄨ	俞	22
shú	ㄕㄨˊ	叔	10
shǔ	ㄕㄨˇ	屬（属）	11
shù	ㄕㄨˋ	倏	25
shuā	ㄕㄨㄚ	刷	2
shuǎ	ㄕㄨㄚˇ	耍	1
shuāi	ㄕㄨㄞ	摔	2
shuǎi	ㄕㄨㄞˇ	甩	1
shuài	ㄕㄨㄞˋ	帥（帅）	3
shuān	ㄕㄨㄢ	拴	3
shuàn	ㄕㄨㄢˋ	槫	2
shuāng	ㄕㄨㄤ	孀	7
shuǎng	ㄕㄨㄤˇ	塽	3
shuǐ	ㄕㄨㄟˇ	水	1
shuì	ㄕㄨㄟˋ	娷	7
shǔn	ㄕㄨㄣˇ	吮	2
shùn	ㄕㄨㄣˋ	恂	6
shuō	ㄕㄨㄛ	說（说）	1
shuò	ㄕㄨㄛˋ	嗍	12
sī	ㄙ	偲	25
sǐ	ㄙˇ	死	1
sì	ㄙˋ	伺	25
sōng	ㄙㄨㄥ	凇	9
sǒng	ㄙㄨㄥˇ	傱	6
sòng	ㄙㄨㄥˋ	宋	5
sōu	ㄙㄡ	嗖	11
sǒu	ㄙㄡˇ	叟	6
sòu	ㄙㄡˋ	嗽	2
sū	ㄙㄨ	㢝	6
sú	ㄙㄨˊ	俗	2
sù	ㄙㄨˋ	傃	33
suān	ㄙㄨㄢ	狻	3
suǎn	ㄙㄨㄢˇ	匴	2
suàn	ㄙㄨㄢˋ	筭	3
suī	ㄙㄨㄟ	嗺	11
suí	ㄙㄨㄟˊ	隋	2
suǐ	ㄙㄨㄟˇ	嶲	4
suì	ㄙㄨㄟˋ	䡵	18
sūn	ㄙㄨㄣ	孫（孙）	4
sǔn	ㄙㄨㄣˇ	扻	6
suō	ㄙㄨㄛ	傞	14
suǒ	ㄙㄨㄛˇ	嗩（唢）	11
tā	ㄊㄚ	他	11
tǎ	ㄊㄚˇ	塔	2
tà	ㄊㄚˋ	傝	26
tāi	ㄊㄞ	台	4
tái	ㄊㄞˊ	儓	15
tǎi	ㄊㄞˇ	呔	2
tài	ㄊㄞˋ	太	8
tai	˙ㄊㄞ	呔	1
tān	ㄊㄢ	嘽（啴）	8
tán	ㄊㄢˊ	倓	22
tǎn	ㄊㄢˇ	儃	10
tàn	ㄊㄢˋ	傝	11
tāng	ㄊㄤ	嘡	6
táng	ㄊㄤˊ	唐	22
tǎng	ㄊㄤˇ	倘	13
tàng	ㄊㄤˋ	燙（烫）	2
tāo	ㄊㄠ	叨	12
táo	ㄊㄠˊ	咷	14
tǎo	ㄊㄠˇ	討（讨）	1
tào	ㄊㄠˋ	套	1
tè	ㄊㄜˋ	忑	8
téng	ㄊㄥˊ	滕	8
tī	ㄊ丨	剔	3
tí	ㄊ丨ˊ	偍	26
tǐ	ㄊ丨ˇ	体	2
tì	ㄊ丨ˋ	俶	21
tiān	ㄊ丨ㄢ	天	3
tián	ㄊ丨ㄢˊ	佃	12
tiǎn	ㄊ丨ㄢˇ	忝	9
tiàn	ㄊ丨ㄢˋ	掭	2
tiāo	ㄊ丨ㄠ	佻	6
tiáo	ㄊ丨ㄠˊ	岧	11
tiǎo	ㄊ丨ㄠˇ	宨	5
tiào	ㄊ丨ㄠˋ	嬥	6
tiē	ㄊ丨ㄝ	帖	6
tiě	ㄊ丨ㄝˇ	帖	2
tiè	ㄊ丨ㄝˋ	䩞	2
tīng	ㄊ丨ㄥ	听	8
tíng	ㄊ丨ㄥˊ	亭	12
tǐng	ㄊ丨ㄥˇ	侹	10
tìng	ㄊ丨ㄥˋ	听	3
tōng	ㄊㄨㄥ	嗵	6
tóng	ㄊㄨㄥˊ	仝	30
tǒng	ㄊㄨㄥˇ	㣚	6
tòng	ㄊㄨㄥˋ	㣚	5
tōu	ㄊㄡ	偷	2
tóu	ㄊㄡˊ	亠	5
tǒu	ㄊㄡˇ	妵	2
tòu	ㄊㄡˋ	透	1
tou	˙ㄊㄡ	頭（头）	1
tū	ㄊㄨ	嶀	4
tú	ㄊㄨˊ	凸	23
tǔ	ㄊㄨˇ	吐	4
tù	ㄊㄨˋ	兔	4
tuān	ㄊㄨㄢ	湍	4
tuán	ㄊㄨㄢˊ	剬	9
tuǎn	ㄊㄨㄢˇ	畽	3
tuàn	ㄊㄨㄢˋ	彖	1
tuī	ㄊㄨㄟ	㷟	4
tuí	ㄊㄨㄟˊ	弚	6
tuǐ	ㄊㄨㄟˇ	僓	2
tuì	ㄊㄨㄟˋ	侻	3
tūn	ㄊㄨㄣ	吞	5
tún	ㄊㄨㄣˊ	囤	7
tǔn	ㄊㄨㄣˇ	汆	1
tùn	ㄊㄨㄣˋ	褪	1
tuō	ㄊㄨㄛ	侂	12
tuó	ㄊㄨㄛˊ	佗	18
tuǒ	ㄊㄨㄛˇ	妥	4
tuò	ㄊㄨㄛˋ	侻	10
wā	ㄨㄚ	呱	13
wá	ㄨㄚˊ	娃	1
wǎ	ㄨㄚˇ	佤	2
wà	ㄨㄚˋ	嗢	4
wa	˙ㄨㄚ	哇	1
wāi	ㄨㄞ	歪	1
wǎi	ㄨㄞˇ	崴	2
wài	ㄨㄞˋ	外	1
wān	ㄨㄢ	剜	9
wán	ㄨㄢˊ	丸	14
wǎn	ㄨㄢˇ	倇	24
wàn	ㄨㄢˋ	万	13
wāng	ㄨㄤ	㑌	4
wáng	ㄨㄤˊ	亡	2
wǎng	ㄨㄤˇ	往	11
wàng	ㄨㄤˋ	妄	7
wēi	ㄨㄟ	偎	17
wéi	ㄨㄟˊ	㕒	32
wěi	ㄨㄟˇ	亹	34
wèi	ㄨㄟˋ	䲁（鳚）	28
wēn	ㄨㄣ	塭	10
wén	ㄨㄣˊ	文	12
wěn	ㄨㄣˇ	刎	4
wèn	ㄨㄣˋ	問（问）	7
wēng	ㄨㄥ	嗡	4
wěng	ㄨㄥˇ	塕	5
wèng	ㄨㄥˋ	瓮	3
wō	ㄨㄛ	倭	5
wǒ	ㄨㄛˇ	我	1
wò	ㄨㄛˋ	偓	14
wū	ㄨ	剭	17
wú	ㄨˊ	吳（吴）	17
wǔ	ㄨˇ	五	23
wù	ㄨˋ	俉	31
xī	ㄒ丨	俙	74
xí	ㄒ丨ˊ	媳	24
xǐ	ㄒ丨ˇ	冼	16
xì	ㄒ丨ˋ	係（系）	36
xiā	ㄒ丨ㄚ	呀	4
xiá	ㄒ丨ㄚˊ	䪗	22
xiǎ	ㄒ丨ㄚˇ	閜	1
xià	ㄒ丨ㄚˋ	下	9
xiān	ㄒ丨ㄢ	仙	26
xián	ㄒ丨ㄢˊ	伭	25
xiǎn	ㄒ丨ㄢˇ	冼	27
xiàn	ㄒ丨ㄢˋ	䁂	24
xiāng	ㄒ丨ㄤ	勷	17
xiáng	ㄒ丨ㄤˊ	庠	6
xiǎng	ㄒ丨ㄤˇ	享	6
xiàng	ㄒ丨ㄤˋ	像	14
xiāo	ㄒ丨ㄠ	削	41
xiáo	ㄒ丨ㄠˊ	姣	2
xiǎo	ㄒ丨ㄠˇ	小	5
xiào	ㄒ丨ㄠˋ	傚（效）	14
xiē	ㄒ丨ㄝ	些	8
xié	ㄒ丨ㄝˊ	偕	21
xiě	ㄒ丨ㄝˇ	寫（写）	2
xiè	ㄒ丨ㄝˋ	偰	38
xīn	ㄒ丨ㄣ	噷	17
xín	ㄒ丨ㄣˊ	鄩（𬩽）	1
xǐn	ㄒ丨ㄣˇ	伈	1
xìn	ㄒ丨ㄣˋ	信	4
xīng	ㄒ丨ㄥ	惺	10
xíng	ㄒ丨ㄥˊ	侀	14
xǐng	ㄒ丨ㄥˇ	擤	4
xìng	ㄒ丨ㄥˋ	倖（幸）	11
xiōng	ㄒㄩㄥ	兄	10
xióng	ㄒㄩㄥˊ	熊	2
xiòng	ㄒㄩㄥˋ	夐	3
xiū	ㄒ丨ㄡ	休	13
xiǔ	ㄒ丨ㄡˇ	宿	3
xiù	ㄒ丨ㄡˋ	嗅	11
xū	ㄒㄩ	吁	20
xú	ㄒㄩˊ	余	2
xǔ	ㄒㄩˇ	冔	15
xù	ㄒㄩˋ	侐	29
xuān	ㄒㄩㄢ	亘	25
xuán	ㄒㄩㄢˊ	䮄（𫠊）	14
xuǎn	ㄒㄩㄢˇ	咺	3
xuàn	ㄒㄩㄢˋ	旋	16
xuē	ㄒㄩㄝ	噱	4
xué	ㄒㄩㄝˊ	學（学）	7
xuě	ㄒㄩㄝˇ	雪	2
xuè	ㄒㄩㄝˋ	削	8
xūn	ㄒㄩㄣ	勛（勋）	16
xún	ㄒㄩㄣˊ	噚	25
xùn	ㄒㄩㄣˋ	侚	14
yā	丨ㄚ	丫	13
yá	丨ㄚˊ	伢	14
yǎ	丨ㄚˇ	啞（哑）	4
yà	丨ㄚˋ	亞（亚）	15
ya	˙丨ㄚ	呀	1
yái	丨ㄞˊ	厓	3
yān	丨ㄢ	傿	21
yán	丨ㄢˊ	唌	32
yǎn	丨ㄢˇ	偃	35
yàn	丨ㄢˋ	俺	40
yāng	丨ㄤ	佒	13
yáng	丨ㄤˊ	㟅	22
yǎng	丨ㄤˇ	仰	9
yàng	丨ㄤˋ	怏	8
yāo	丨ㄠ	么（幺）	14
yáo	丨ㄠˊ	傜	32
yǎo	丨ㄠˇ	偠	14
yào	丨ㄠˋ	曜	13
yē	丨ㄝ	倻	3
yé	丨ㄝˊ	揶	10
yě	丨ㄝˇ	也	5
yè	丨ㄝˋ	偞	26
yī	丨	一	22
yí	丨ˊ	侇	45
yǐ	丨ˇ	乙	29
yì	丨ˋ	乂	110
yīn	丨ㄣ	喑	25
yín	丨ㄣˊ	冘	21
yǐn	丨ㄣˇ	听	14
yìn	丨ㄣˋ	印	12
yīng	丨ㄥ	嚶（嘤）	21
yíng	丨ㄥˊ	俓	25
yǐng	丨ㄥˇ	影	8
yìng	丨ㄥˋ	媵	4
yō	丨ㄛ	唷	1
yōng	ㄩㄥ	傭（佣）	20
yóng	ㄩㄥˊ	喁	3
yǒng	ㄩㄥˇ	俑	21
yòng	ㄩㄥˋ	佣	3
yōu	丨ㄡ	优	13
yóu	丨ㄡˊ	冘	25
yǒu	丨ㄡˇ	卣	13
yòu	丨ㄡˋ	佑	18
yū	ㄩ	吁	6
yú	ㄩˊ	与	65
yǔ	ㄩˇ	㺄	32
yù	ㄩˋ	䉛	78
yuān	ㄩㄢ	㠾	13
yuán	ㄩㄢˊ	元	33
yuǎn	ㄩㄢˇ	遠（远）	1
yuàn	ㄩㄢˋ	噮	11
yuē	ㄩㄝ	噦（哕）	3
yuè	ㄩㄝˋ	兌（兑）	27
yūn	ㄩㄣ	奫	6
yún	ㄩㄣˊ	云	21
yǔn	ㄩㄣˇ	允	7
yùn	ㄩㄣˋ	均	18
zā	ㄗㄚ	匝	2
zá	ㄗㄚˊ	咱	7
zāi	ㄗㄞ	哉	6
zǎi	ㄗㄞˇ	仔	4
zài	ㄗㄞˋ	再	4
zān	ㄗㄢ	篸	2
zán	ㄗㄢˊ	偺（咱）	4
zǎn	ㄗㄢˇ	儹	9
zàn	ㄗㄢˋ	囋	7
zāng	ㄗㄤ	牂	5
zǎng	ㄗㄤˇ	駔（驵）	2
zàng	ㄗㄤˋ	奘	4
zāo	ㄗㄠ	傮	5
záo	ㄗㄠˊ	鑿（凿）	1
zǎo	ㄗㄠˇ	早	7
zào	ㄗㄠˋ	唕（唣）	12
zé	ㄗㄜˊ	則（则）	19
zè	ㄗㄜˋ	仄	6
zéi	ㄗㄟˊ	賊（贼）	1
zěn	ㄗㄣˇ	怎	1
zèn	ㄗㄣˋ	譖（谮）	1
zēng	ㄗㄥ	噌	10
zèng	ㄗㄥˋ	甑	2
zhā	ㄓㄚ	吒	15
zhá	ㄓㄚˊ	劄	13
zhǎ	ㄓㄚˇ	扠	6
zhà	ㄓㄚˋ	乍	17
zha	˙ㄓㄚ	餷（馇）	1
zhāi	ㄓㄞ	嚌	3
zhái	ㄓㄞˊ	宅	3
zhǎi	ㄓㄞˇ	窄	1
zhài	ㄓㄞˋ	䐱	7
zhān	ㄓㄢ	占	18
zhǎn	ㄓㄢˇ	展	9
zhàn	ㄓㄢˋ	佔（占）	12
zhāng	ㄓㄤ	傽	14
zhǎng	ㄓㄤˇ	仉	4
zhàng	ㄓㄤˋ	㽴	14
zhāo	ㄓㄠ	嘲	9
zháo	ㄓㄠˊ	著（着）	1
zhǎo	ㄓㄠˇ	找	4
zhào	ㄓㄠˋ	䍮	17
zhē	ㄓㄜ	嗻	4
zhé	ㄓㄜˊ	哲	18
zhě	ㄓㄜˇ	啫	4
zhè	ㄓㄜˋ	嗻	7
zhe	˙ㄓㄜ	著（着）	1
zhèi	ㄓㄟˋ	這（这）	1
zhēn	ㄓㄣ	偵（侦）	28
zhěn	ㄓㄣˇ	抌	14
zhèn	ㄓㄣˋ	侲	17
zhēng	ㄓㄥ	丁	22
zhěng	ㄓㄥˇ	拯	5
zhèng	ㄓㄥˋ	幀（帧）	10
zhī	ㄓ	之	25
zhí	ㄓˊ	侄	27
zhǐ	ㄓˇ	㧗	31
zhì	ㄓˋ	偫	65
zhōng	ㄓㄨㄥ	中	19
zhǒng	ㄓㄨㄥˇ	㣫	9
zhòng	ㄓㄨㄥˋ	中	9
zhōu	ㄓㄡ	侜	15
zhóu	ㄓㄡˊ	妯	2
zhǒu	ㄓㄡˇ	帚	2
zhòu	ㄓㄡˋ	㑳（㑇）	18
zhū	ㄓㄨ	㑳（㑇）	19
zhú	ㄓㄨˊ	朮（术）	16
zhǔ	ㄓㄨˇ	㤖	13
zhù	ㄓㄨˋ	佇（伫）	27
zhuā	ㄓㄨㄚ	抓	5
zhuǎ	ㄓㄨㄚˇ	爪	1
zhuǎi	ㄓㄨㄞˇ	跩	1
zhuài	ㄓㄨㄞˋ	拽	1
zhuān	ㄓㄨㄢ	剸	8
zhuǎn	ㄓㄨㄢˇ	囀（啭）	3
zhuàn	ㄓㄨㄢˋ	傳（传）	11
zhuāng	ㄓㄨㄤ	妝（妆）	5
zhuàng	ㄓㄨㄤˋ	僮	6
zhuī	ㄓㄨㄟ	椎	5
zhuì	ㄓㄨㄟˋ	墜（坠）	8
zhūn	ㄓㄨㄣ	啍	7
zhǔn	ㄓㄨㄣˇ	准	5
zhùn	ㄓㄨㄣˋ	旽	2
zhuō	ㄓㄨㄛ	捉	3
zhuó	ㄓㄨㄛˊ	倬	42
zī	ㄗ	㠿	36
zǐ	ㄗˇ	㧗	15
zì	ㄗˋ	倳	10
zi	˙ㄗ	子	1
zōng	ㄗㄨㄥ	倧	15
zǒng	ㄗㄨㄥˇ	傯（偬）	4
zòng	ㄗㄨㄥˋ	從（从）	6
zōu	ㄗㄡ	媰	13
zǒu	ㄗㄡˇ	走	1
zòu	ㄗㄡˋ	奏	3
zū	ㄗㄨ	租	2
zú	ㄗㄨˊ	卒	8
zǔ	ㄗㄨˇ	俎	7
zù	ㄗㄨˋ	駔（驵）	1
zuān	ㄗㄨㄢ	劗	4
zuǎn	ㄗㄨㄢˇ	篹	4
zuàn	ㄗㄨㄢˋ	揝	4
zuī	ㄗㄨㄟ	嗺	3
zuǐ	ㄗㄨㄟˇ	嘴	4
zuì	ㄗㄨㄟˋ	冣	8
zūn	ㄗㄨㄣ	墫	6
zǔn	ㄗㄨㄣˇ	僔	3
zùn	ㄗㄨㄣˋ	圳	2
zuō	ㄗㄨㄛ	嘬	1
zuó	ㄗㄨㄛˊ	作	5
zuǒ	ㄗㄨㄛˇ	佐	2
zuò	ㄗㄨㄛˋ	作	14
