# 现代汉语音节汇总（无声调）
# 共有426个音节。
#
# 说明：汇总自“汉语音节统计汇总”，相关字段可参考其中说明，标记☆为399个基础音节（仅供参考），例子2标注403个音节；
# gue、nui暂未找到例字，暂不列入；
# 声母韵母说明：
# - 声母、韵母以《现代汉语拼音方案》为准，声母21个（并外加一个“零声母”，而y、w不视为声母）、韵母35个（并外加儿化音er和ê）；
# - 对iu、ui、un缩写（前有声母）使用原形iou、uei、uen；
# - 对i、u、ü行的也使用原形；
# - 对特殊音节hm、hng、m、n、ng以及q、yai、yo不标注声母、韵母。
#
# 拼音	注音	声母	韵母	例字	例子2	字数1	字数2	状态	标记

ni	ㄋㄧ	n	i	泥	你	33	35	※	☆
nian	ㄋㄧㄢ	n	ian	年	年	16	19	※	☆
niang	ㄋㄧㄤ	n	iang	娘	娘	2	3	※	☆
niao	ㄋㄧㄠ	n	iao	鸟	鸟	7	9	※	☆
nie	ㄋㄧㄝ	n	ie	捏	捏	22	28	※	☆
nin	ㄋㄧㄣ	n	in	您	您	2	2	※	☆
ning	ㄋㄧㄥ	n	ing	宁	宁	12	12	※	☆
niu	ㄋㄧㄡ	n	iou	牛	牛	9	9	※	☆
nong	ㄋㄨㄥ	n	ong	农	农	8	10	※	☆
nou	ㄋㄡ	n	ou	耨	耨	1	4	※	
nu	ㄋㄨ	n	u	奴	奴	11	10	※	☆
nü	ㄋㄩ	n	ü	女	女	6	6	※	☆
nuan	ㄋㄨㄢ	n	uan	暖	暖	1	3	※	☆
nüe	ㄋㄩㄝ	n	üe	虐	虐	2	3	※	☆
nun	ㄋㄨㄣ	n	uen	黁		1	1	※	
nuo	ㄋㄨㄛ	n	uo	挪	挪	10	14	※	☆
o	ㄛ		o	哦	哦	4	5	※	☆
ou	ㄡ		ou	欧	欧	15	17	※	☆
pa	ㄆㄚ	p	a	怕	趴	18	16	※	☆
pai	ㄆㄞ	p	ai	拍	拍	13	10	※	☆
pan	ㄆㄢ	p	an	潘	盘	23	30	※	☆
pang	ㄆㄤ	p	ang	旁	旁	16	18	※	☆
pao	ㄆㄠ	p	ao	抛	跑	13	22	※	☆
pei	ㄆㄟ	p	ei	胚	培	18	26	※	☆
pen	ㄆㄣ	p	en	喷	盆	3	5	※	☆
peng	ㄆㄥ	p	eng	烹	朋	26	36	※	☆
pi	ㄆㄧ	p	i	批	批	62	66	※	☆
pia	ㄆㄧㄚ	p	ia	㕷			2		
pian	ㄆㄧㄢ	p	ian	偏	偏	17	22	※	☆
piao	ㄆㄧㄠ	p	iao	飘	飘	18	24	※	☆
pie	ㄆㄧㄝ	p	ie	撇	撇	6	7	※	☆
pin	ㄆㄧㄣ	p	in	拼	拼	13	15	※	☆
ping	ㄆㄧㄥ	p	ing	乒	平	22	28	※	☆
po	ㄆㄛ	p	o	坡	坡	23	34	※	☆
pou	ㄆㄡ	p	ou	剖	剖	4	8	※	☆
pu	ㄆㄨ	p	u	扑	扑	33	39	※	☆
q	ㄑ	-	-	啐			1		
qi	ㄑㄧ	q	i	七	七	105	113	※	☆
qia	ㄑㄧㄚ	q	ia	恰	恰	18	7	※	☆
qian	ㄑㄧㄢ	q	ian	千	千	48	64	※	☆
qiang	ㄑㄧㄤ	q	iang	枪	枪	26	33	※	☆
