# 《國語小字典》注音索引
# 共1173个音节（其中10个音节缺例字）
#
# https://dict.mini.moe.edu.tw/SearchIndex?type=zhuyin
#
# 拼音	注音	例字	字数

má	ㄇㄚˊ	嘛	5
mǎ	ㄇㄚˇ	嗎	5
mà	ㄇㄚˋ	罵	2
ma	˙ㄇㄚ	嗎	2
mō	ㄇㄛ	摸	1
mó	ㄇㄛˊ	摩	8
mǒ	ㄇㄛˇ	抹	1
mò	ㄇㄛˋ	冒	16
me	˙ㄇㄜ	麼	1
mái	ㄇㄞˊ	埋	2
mǎi	ㄇㄞˇ	買	1
mài	ㄇㄞˋ	脈	4
méi	ㄇㄟˊ	媒	11
měi	ㄇㄟˇ	每	2
mèi	ㄇㄟˋ	妹	5
māo	ㄇㄠ	貓	1
máo	ㄇㄠˊ	毛	5
mǎo	ㄇㄠˇ	卯	1
mào	ㄇㄠˋ	冒	5
móu	ㄇㄡˊ	哞	4
mǒu	ㄇㄡˇ	某	1
mán	ㄇㄢˊ	埋	7
mǎn	ㄇㄢˇ	滿	1
màn	ㄇㄢˋ	幔	5
mēn	ㄇㄣ	悶	1
mén	ㄇㄣˊ	們	2
mèn	ㄇㄣˋ	悶	2
men	˙ㄇㄣ	們	1
máng	ㄇㄤˊ	忙	4
mǎng	ㄇㄤˇ	莽	2
mēng	ㄇㄥ	矇	1
méng	ㄇㄥˊ	懵	8
měng	ㄇㄥˇ	猛	4
mèng	ㄇㄥˋ	夢	2
fū	ㄈㄨ	夫	4
fú	ㄈㄨˊ	伏	21
fǔ	ㄈㄨˇ	俯	8
fù	ㄈㄨˋ	付	17
fā	ㄈㄚ	伐	2
fá	ㄈㄚˊ	乏	4
fǎ	ㄈㄚˇ	法	3
fó	ㄈㄛˊ	佛	1
fēi	ㄈㄟ	啡	6
féi	ㄈㄟˊ	肥	1
fěi	ㄈㄟˇ	匪	5
fèi	ㄈㄟˋ	吠	6
fǒu	ㄈㄡˇ	否	1
fān	ㄈㄢ	番	3
fán	ㄈㄢˊ	凡	7
fǎn	ㄈㄢˇ	反	2
fàn	ㄈㄢˋ	梵	8
fēn	ㄈㄣ	分	5
fén	ㄈㄣˊ	墳	2
fěn	ㄈㄣˇ	粉	1
fèn	ㄈㄣˋ	份	6
fen	˙ㄈㄣ	噴	1
fāng	ㄈㄤ	坊	3
fáng	ㄈㄤˊ	坊	5
fǎng	ㄈㄤˇ	仿	4
fàng	ㄈㄤˋ	放	1
fēng	ㄈㄥ	丰	10
féng	ㄈㄥˊ	縫	3
fèng	ㄈㄥˋ	俸	6
dī	ㄉㄧ	低	2
dí	ㄉㄧˊ	嘀	8
dǐ	ㄉㄧˇ	底	5
dì	ㄉㄧˋ	地	9
dū	ㄉㄨ	嘟	3
dú	ㄉㄨˊ	毒	6
dǔ	ㄉㄨˇ	堵	5
dù	ㄉㄨˋ	妒	6
diē	ㄉㄧㄝ	爹	1
dié	ㄉㄧㄝˊ	喋	6
diāo	ㄉㄧㄠ	凋	6
diào	ㄉㄧㄠˋ	吊	5
diū	ㄉㄧㄡ	丟	1
diān	ㄉㄧㄢ	巔	3
diǎn	ㄉㄧㄢˇ	典	3
diàn	ㄉㄧㄢˋ	佃	12
dīng	ㄉㄧㄥ	丁	6
dǐng	ㄉㄧㄥˇ	頂	2
dìng	ㄉㄧㄥˋ	定	3
duō	ㄉㄨㄛ	多	1
duó	ㄉㄨㄛˊ	奪	1
duǒ	ㄉㄨㄛˇ	朵	2
duò	ㄉㄨㄛˋ	咄	7
duī	ㄉㄨㄟ	堆	1
duì	ㄉㄨㄟˋ	兌	3
duān	ㄉㄨㄢ	端	1
duǎn	ㄉㄨㄢˇ	短	1
duàn	ㄉㄨㄢˋ	斷	4
dūn	ㄉㄨㄣ	墩	3
dǔn	ㄉㄨㄣˇ	盹	1
dùn	ㄉㄨㄣˋ	噸	7
dōng	ㄉㄨㄥ	冬	5
dǒng	ㄉㄨㄥˇ	懂	2
dòng	ㄉㄨㄥˋ	凍	4
dā	ㄉㄚ	搭	2
dá	ㄉㄚˊ	答	2
dǎ	ㄉㄚˇ	打	1
dà	ㄉㄚˋ	大	1
dé	ㄉㄜˊ	得	2
de	˙ㄉㄜ	地	3
