# 《國語小字典》注音索引
# 共1173个音节（其中10个音节缺例字）
#
# https://dict.mini.moe.edu.tw/SearchIndex?type=zhuyin
#
# 拼音	注音	例字	字数

qiǎng	ㄑㄧㄤˇ	強	3
qiàng	ㄑㄧㄤˋ	嗆	1
qīng	ㄑㄧㄥ	傾	7
qíng	ㄑㄧㄥˊ	情	3
qǐng	ㄑㄧㄥˇ	請	2
qìng	ㄑㄧㄥˋ	慶	3
quē	ㄑㄩㄝ	缺	2
què	ㄑㄩㄝˋ	卻	6
quān	ㄑㄩㄢ	圈	1
quán	ㄑㄩㄢˊ	全	9
quǎn	ㄑㄩㄢˇ	犬	1
quàn	ㄑㄩㄢˋ	券	2
qún	ㄑㄩㄣˊ	群	2
qiōng	ㄑㄩㄥ	穹	1
qióng	ㄑㄩㄥˊ	瓊	2
xī	ㄒㄧ	兮	29
xí	ㄒㄧˊ	媳	10
xǐ	ㄒㄧˇ	喜	3
xì	ㄒㄧˋ	係	9
xū	ㄒㄩ	吁	8
xú	ㄒㄩˊ	徐	1
xǔ	ㄒㄩˇ	咻	4
xù	ㄒㄩˋ	婿	10
xiā	ㄒㄧㄚ	瞎	2
xiá	ㄒㄧㄚˊ	俠	11
xià	ㄒㄧㄚˋ	下	4
xiē	ㄒㄧㄝ	些	3
xié	ㄒㄧㄝˊ	偕	7
xiě	ㄒㄧㄝˇ	寫	2
xiè	ㄒㄧㄝˋ	卸	13
xiāo	ㄒㄧㄠ	削	13
xiǎo	ㄒㄧㄠˇ	小	2
xiào	ㄒㄧㄠˋ	嘯	7
xiū	ㄒㄧㄡ	休	6
xiǔ	ㄒㄧㄡˇ	宿	2
xiù	ㄒㄧㄡˋ	嗅	8
xiān	ㄒㄧㄢ	仙	5
xián	ㄒㄧㄢˊ	咸	9
xiǎn	ㄒㄧㄢˇ	蘚	4
xiàn	ㄒㄧㄢˋ	憲	11
xīn	ㄒㄧㄣ	心	6
xìn	ㄒㄧㄣˋ	信	1
xiāng	ㄒㄧㄤ	廂	8
xiáng	ㄒㄧㄤˊ	庠	5
xiǎng	ㄒㄧㄤˇ	享	4
xiàng	ㄒㄧㄤˋ	像	8
xīng	ㄒㄧㄥ	惺	5
xíng	ㄒㄧㄥˊ	刑	4
xǐng	ㄒㄧㄥˇ	擤	3
xìng	ㄒㄧㄥˋ	倖	7
xuē	ㄒㄩㄝ	薛	2
xué	ㄒㄩㄝˊ	學	1
xuě	ㄒㄩㄝˇ	雪	1
xuè	ㄒㄩㄝˋ	削	2
xuān	ㄒㄩㄢ	喧	5
xuán	ㄒㄩㄢˊ	懸	4
xuǎn	ㄒㄩㄢˇ	選	1
xuàn	ㄒㄩㄢˋ	旋	5
xūn	ㄒㄩㄣ	勛	4
xún	ㄒㄩㄣˊ	尋	6
xùn	ㄒㄩㄣˋ	殉	5
xiōng	ㄒㄩㄥ	兄	6
xióng	ㄒㄩㄥˊ	熊	2
zhī	ㄓ	之	14
zhí	ㄓˊ	值	10
zhǐ	ㄓˇ	只	12
zhì	ㄓˋ	制	20
zhū	ㄓㄨ	侏	9
zhú	ㄓㄨˊ	朮	7
zhǔ	ㄓㄨˇ	主	7
zhù	ㄓㄨˋ	佇	12
zhuā	ㄓㄨㄚ	抓	1
zhuǎ	ㄓㄨㄚˇ	爪	1
zhuō	ㄓㄨㄛ	捉	2
zhuó	ㄓㄨㄛˊ	卓	13
zhuī	ㄓㄨㄟ	椎	3
zhuì	ㄓㄨㄟˋ	墜	4
zhuān	ㄓㄨㄢ	專	2
zhuǎn	ㄓㄨㄢˇ	轉	1
zhuàn	ㄓㄨㄢˋ	傳	4
zhūn	ㄓㄨㄣ	屯	3
zhǔn	ㄓㄨㄣˇ	准	2
zhuāng	ㄓㄨㄤ	妝	5
zhuàng	ㄓㄨㄤˋ	僮	4
zhōng	ㄓㄨㄥ	中	8
zhǒng	ㄓㄨㄥˇ	冢	5
zhòng	ㄓㄨㄥˋ	中	5
zhā	ㄓㄚ	喳	4
zhá	ㄓㄚˊ	扎	6
zhǎ	ㄓㄚˇ	眨	1
zhà	ㄓㄚˋ	乍	7
zhē	ㄓㄜ	折	2
zhé	ㄓㄜˊ	哲	7
zhě	ㄓㄜˇ	者	1
zhè	ㄓㄜˋ	浙	3
zhe	˙ㄓㄜ	著	1
zhāi	ㄓㄞ	摘	2
zhái	ㄓㄞˊ	宅	1
zhǎi	ㄓㄞˇ	窄	1
zhài	ㄓㄞˋ	債	2
zhāo	ㄓㄠ	招	4
zháo	ㄓㄠˊ	著	1
zhǎo	ㄓㄠˇ	找	3
zhào	ㄓㄠˋ	兆	6
zhōu	ㄓㄡ	周	7
zhóu	ㄓㄡˊ	軸	1
zhǒu	ㄓㄡˇ	肘	1
zhòu	ㄓㄡˋ	冑	7
zhān	ㄓㄢ	占	5
zhǎn	ㄓㄢˇ	展	5
zhàn	ㄓㄢˋ	佔	10
zhēn	ㄓㄣ	偵	9
zhěn	ㄓㄣˇ	枕	3
zhèn	ㄓㄣˋ	圳	8
zhāng	ㄓㄤ	張	7
zhǎng	ㄓㄤˇ	掌	3
zhàng	ㄓㄤˋ	丈	8
zhēng	ㄓㄥ	崢	13
zhěng	ㄓㄥˇ	拯	2
zhèng	ㄓㄥˋ	掙	6
chī	ㄔ	吃	3
chí	ㄔˊ	匙	6
chǐ	ㄔˇ	侈	4
chì	ㄔˋ	敕	5
chū	ㄔㄨ	出	3
chú	ㄔㄨˊ	儲	8
chǔ	ㄔㄨˇ	杵	4
chù	ㄔㄨˋ	怵	5
chuō	ㄔㄨㄛ	戳	1
chuò	ㄔㄨㄛˋ	啜	3
chuǎi	ㄔㄨㄞˇ	揣	1
chuī	ㄔㄨㄟ	吹	2
chuí	ㄔㄨㄟˊ	垂	5
chuān	ㄔㄨㄢ	川	2
chuán	ㄔㄨㄢˊ	傳	2
chuǎn	ㄔㄨㄢˇ	喘	2
chuàn	ㄔㄨㄢˋ	串	2
chūn	ㄔㄨㄣ	春	1
chún	ㄔㄨㄣˊ	淳	5
chǔn	ㄔㄨㄣˇ	蠢	1
chuāng	ㄔㄨㄤ	創	3
chuáng	ㄔㄨㄤˊ	幢	2
chuǎng	ㄔㄨㄤˇ	闖	1
chuàng	ㄔㄨㄤˋ	創	2
chōng	ㄔㄨㄥ	充	6
chóng	ㄔㄨㄥˊ	崇	3
chǒng	ㄔㄨㄥˇ	寵	1
chòng	ㄔㄨㄥˋ	衝	2
chā	ㄔㄚ	叉	3
chá	ㄔㄚˊ	察	4
chà	ㄔㄚˋ	剎	4
chē	ㄔㄜ	車	1
chě	ㄔㄜˇ	扯	1
chè	ㄔㄜˋ	坼	6
chāi	ㄔㄞ	差	2
chái	ㄔㄞˊ	柴	1
chāo	ㄔㄠ	抄	3
cháo	ㄔㄠˊ	嘲	5
chǎo	ㄔㄠˇ	吵	2
chōu	ㄔㄡ	抽	1
chóu	ㄔㄡˊ	仇	9
chǒu	ㄔㄡˇ	丑	2
chòu	ㄔㄡˋ	臭	1
chān	ㄔㄢ	摻	2
chán	ㄔㄢˊ	單	7
chǎn	ㄔㄢˇ	剷	5
chēn	ㄔㄣ	瞋	1
chén	ㄔㄣˊ	塵	8
chèn	ㄔㄣˋ	襯	2
chāng	ㄔㄤ	倡	4
cháng	ㄔㄤˊ	償	9
chǎng	ㄔㄤˇ	場	3
chàng	ㄔㄤˋ	倡	4
chēng	ㄔㄥ	撐	5
chéng	ㄔㄥˊ	丞	13
chěng	ㄔㄥˇ	逞	2
chèng	ㄔㄥˋ	秤	2
shī	ㄕ	失	9
shí	ㄕˊ	什	8
shǐ	ㄕˇ	使	6
shì	ㄕˋ	世	27
shi	˙ㄕ	匙	1
shū	ㄕㄨ	抒	11
shú	ㄕㄨˊ	叔	5
shǔ	ㄕㄨˇ	屬	10
shù	ㄕㄨˋ	倏	13
shuā	ㄕㄨㄚ	刷	1
shuǎ	ㄕㄨㄚˇ	耍	1
shuō	ㄕㄨㄛ	說	1
shuò	ㄕㄨㄛˋ	數	4
shuāi	ㄕㄨㄞ	摔	2
shuǎi	ㄕㄨㄞˇ	甩	1
shuài	ㄕㄨㄞˋ	帥	3
shuǐ	ㄕㄨㄟˇ	水	1
shuì	ㄕㄨㄟˋ	睡	3
shuān	ㄕㄨㄢ	拴	2
shuàn	ㄕㄨㄢˋ		0
shùn	ㄕㄨㄣˋ	瞬	3
shuāng	ㄕㄨㄤ	雙	2
shuǎng	ㄕㄨㄤˇ	爽	1
shā	ㄕㄚ	殺	7
shá	ㄕㄚˊ		0
shǎ	ㄕㄚˇ	傻	1
shà	ㄕㄚˋ	殺	3
shē	ㄕㄜ	奢	1
shé	ㄕㄜˊ	折	3
shě	ㄕㄜˇ	捨	2
shè	ㄕㄜˋ	射	7
shāi	ㄕㄞ	篩	1
shài	ㄕㄞˋ	晒	1
shéi	ㄕㄟˊ	誰	1
shāo	ㄕㄠ	梢	3
sháo	ㄕㄠˊ	勺	2
shǎo	ㄕㄠˇ	少	1
shào	ㄕㄠˋ	劭	6
shōu	ㄕㄡ	收	1
shóu	ㄕㄡˊ	熟	1
shǒu	ㄕㄡˇ	守	3
shòu	ㄕㄡˋ	受	7
shān	ㄕㄢ	刪	10
shǎn	ㄕㄢˇ	閃	2
shàn	ㄕㄢˋ	善	7
shēn	ㄕㄣ	伸	7
shén	ㄕㄣˊ	什	3
shěn	ㄕㄣˇ	嬸	3
shèn	ㄕㄣˋ	慎	5
shāng	ㄕㄤ	傷	2
shǎng	ㄕㄤˇ	上	3
shàng	ㄕㄤˋ	上	2
shang	˙ㄕㄤ	裳	1
shēng	ㄕㄥ	勝	8
shéng	ㄕㄥˊ	繩	1
shěng	ㄕㄥˇ	省	1
shèng	ㄕㄥˋ	乘	5
rì	ㄖˋ	日	1
rú	ㄖㄨˊ	儒	6
rǔ	ㄖㄨˇ	乳	2
rù	ㄖㄨˋ	入	3
ruò	ㄖㄨㄛˋ	弱	4
ruǐ	ㄖㄨㄟˇ	蕊	1
ruì	ㄖㄨㄟˋ	瑞	2
ruǎn	ㄖㄨㄢˇ	軟	2
rùn	ㄖㄨㄣˋ	潤	2
róng	ㄖㄨㄥˊ	容	11
rě	ㄖㄜˇ	惹	2
rè	ㄖㄜˋ	熱	1
ráo	ㄖㄠˊ	蟯	2
rǎo	ㄖㄠˇ	擾	1
rào	ㄖㄠˋ	繞	1
róu	ㄖㄡˊ	揉	2
ròu	ㄖㄡˋ	肉	1
rán	ㄖㄢˊ	然	2
rǎn	ㄖㄢˇ	冉	2
rén	ㄖㄣˊ	人	4
rěn	ㄖㄣˇ	忍	2
rèn	ㄖㄣˋ	仞	7
ráng	ㄖㄤˊ	攘	1
rǎng	ㄖㄤˇ	嚷	2
ràng	ㄖㄤˋ	讓	1
rēng	ㄖㄥ	扔	1
réng	ㄖㄥˊ	仍	1
zī	ㄗ	姿	7
zǐ	ㄗˇ	仔	6
zì	ㄗˋ	字	4
zi	˙ㄗ	子	1
zū	ㄗㄨ	租	1
zú	ㄗㄨˊ	卒	3
zǔ	ㄗㄨˇ	俎	4
zuó	ㄗㄨㄛˊ	作	2
zuǒ	ㄗㄨㄛˇ	佐	2
zuò	ㄗㄨㄛˋ	作	4
zuǐ	ㄗㄨㄟˇ	嘴	1
zuì	ㄗㄨㄟˋ	最	3
zuān	ㄗㄨㄢ	鑽	1
zuàn	ㄗㄨㄢˋ	鑽	1
zūn	ㄗㄨㄣ	尊	3
zùn	ㄗㄨㄣˋ	圳	1
zōng	ㄗㄨㄥ	宗	5
zǒng	ㄗㄨㄥˇ	總	1
zòng	ㄗㄨㄥˋ	從	4
zā	ㄗㄚ		0
zá	ㄗㄚˊ	咱	3
zé	ㄗㄜˊ	則	5
zāi	ㄗㄞ	哉	3
zǎi	ㄗㄞˇ	仔	3
zài	ㄗㄞˋ	再	3
zéi	ㄗㄟˊ	賊	1
zāo	ㄗㄠ	糟	3
záo	ㄗㄠˊ	鑿	1
zǎo	ㄗㄠˇ	早	5
zào	ㄗㄠˋ	噪	6
zōu	ㄗㄡ	鄒	1
zǒu	ㄗㄡˇ	走	1
zòu	ㄗㄡˋ	奏	3
zán	ㄗㄢˊ	咱	1
zàn	ㄗㄢˋ	讚	2
zěn	ㄗㄣˇ	怎	1
zāng	ㄗㄤ	贓	2
zàng	ㄗㄤˋ	奘	4
zēng	ㄗㄥ	增	3
zèng	ㄗㄥˋ	贈	1
cī	ㄘ	差	3
cí	ㄘˊ	慈	8
cǐ	ㄘˇ	此	1
cì	ㄘˋ	伺	3
cū	ㄘㄨ	粗	1
cù	ㄘㄨˋ	促	6
cuō	ㄘㄨㄛ	搓	3
cuò	ㄘㄨㄛˋ	厝	5
cuī	ㄘㄨㄟ	催	4
cuǐ	ㄘㄨㄟˇ	璀	1
cuì	ㄘㄨㄟˋ	悴	6
cuàn	ㄘㄨㄢˋ	竄	1
cūn	ㄘㄨㄣ	村	1
cún	ㄘㄨㄣˊ	存	1
cǔn	ㄘㄨㄣˇ	忖	1
cùn	ㄘㄨㄣˋ	寸	1
cōng	ㄘㄨㄥ	匆	6
cóng	ㄘㄨㄥˊ	叢	3
cā	ㄘㄚ	擦	1
cè	ㄘㄜˋ	側	6
cāi	ㄘㄞ	猜	1
cái	ㄘㄞˊ	才	4
cǎi	ㄘㄞˇ	彩	6
cài	ㄘㄞˋ	菜	2
cāo	ㄘㄠ	操	2
cáo	ㄘㄠˊ	嘈	3
cǎo	ㄘㄠˇ	草	1
còu	ㄘㄡˋ	湊	1
cān	ㄘㄢ	參	2
cán	ㄘㄢˊ	慚	3
cǎn	ㄘㄢˇ	慘	1
càn	ㄘㄢˋ	燦	2
cēn	ㄘㄣ	參	1
cén	ㄘㄣˊ	涔	1
cāng	ㄘㄤ	倉	4
cáng	ㄘㄤˊ	藏	1
cēng	ㄘㄥ		0
céng	ㄘㄥˊ	層	2
sī	ㄙ	司	9
sǐ	ㄙˇ	死	1
sì	ㄙˋ	伺	13
sū	ㄙㄨ	甦	4
sú	ㄙㄨˊ	俗	1
sù	ㄙㄨˋ	塑	10
suō	ㄙㄨㄛ	嗦	7
suǒ	ㄙㄨㄛˇ	所	4
suī	ㄙㄨㄟ	雖	1
suí	ㄙㄨㄟˊ	隋	2
suǐ	ㄙㄨㄟˇ	髓	1
suì	ㄙㄨㄟˋ	歲	7
suān	ㄙㄨㄢ	痠	2
suàn	ㄙㄨㄢˋ	算	2
sūn	ㄙㄨㄣ	孫	2
sǔn	ㄙㄨㄣˇ	損	2
sōng	ㄙㄨㄥ	嵩	4
sǒng	ㄙㄨㄥˇ	悚	3
sòng	ㄙㄨㄥˋ	宋	5
sā	ㄙㄚ	撒	1
sǎ	ㄙㄚˇ	撒	2
sà	ㄙㄚˋ	卅	2
sè	ㄙㄜˋ	嗇	6
sāi	ㄙㄞ	塞	3
sài	ㄙㄞˋ	塞	2
sāo	ㄙㄠ	搔	3
sǎo	ㄙㄠˇ	嫂	2
sào	ㄙㄠˋ	掃	2
sōu	ㄙㄡ	嗖	4
sǒu	ㄙㄡˇ	叟	2
sòu	ㄙㄡˋ	嗽	1
sān	ㄙㄢ	三	2
sǎn	ㄙㄢˇ	傘	2
sàn	ㄙㄢˋ	散	1
sēn	ㄙㄣ	森	1
sāng	ㄙㄤ	喪	2
sǎng	ㄙㄤˇ	嗓	1
sàng	ㄙㄤˋ	喪	1
sēng	ㄙㄥ	僧	1
yī	ㄧ	一	8
yí	ㄧˊ	儀	16
yǐ	ㄧˇ	乙	7
yì	ㄧˋ	亦	36
yā	ㄧㄚ	丫	8
yá	ㄧㄚˊ	枒	6
yǎ	ㄧㄚˇ	啞	2
yà	ㄧㄚˋ	亞	5
ya	˙ㄧㄚ	呀	1
yō	ㄧㄛ	唷	1
yē	ㄧㄝ	噎	1
yé	ㄧㄝˊ	椰	4
yě	ㄧㄝˇ	也	3
yè	ㄧㄝˋ	咽	9
ye	˙ㄧㄝ	吔	1
yái	ㄧㄞˊ	崖	1
yāo	ㄧㄠ	么	8
yáo	ㄧㄠˊ	堯	10
yǎo	ㄧㄠˇ	咬	4
yào	ㄧㄠˋ	曜	6
yōu	ㄧㄡ	優	5
yóu	ㄧㄡˊ	尤	9
yǒu	ㄧㄡˇ	友	4
yòu	ㄧㄡˋ	佑	10
yān	ㄧㄢ	咽	10
yán	ㄧㄢˊ	嚴	15
yǎn	ㄧㄢˇ	儼	9
yàn	ㄧㄢˋ	厭	15
yīn	ㄧㄣ	因	7
yín	ㄧㄣˊ	吟	7
yǐn	ㄧㄣˇ	尹	6
yìn	ㄧㄣˋ	印	3
yāng	ㄧㄤ	央	4
yáng	ㄧㄤˊ	徉	8
yǎng	ㄧㄤˇ	仰	4
yàng	ㄧㄤˋ	樣	3
yīng	ㄧㄥ	嬰	9
yíng	ㄧㄥˊ	營	8
yǐng	ㄧㄥˇ	影	3
yìng	ㄧㄥˋ	應	3
wū	ㄨ	嗚	8
wú	ㄨˊ	吳	8
wǔ	ㄨˇ	五	8
wù	ㄨˋ	兀	13
wā	ㄨㄚ	哇	5
wá	ㄨㄚˊ	娃	1
wǎ	ㄨㄚˇ	瓦	1
wà	ㄨㄚˋ	襪	1
wa	˙ㄨㄚ	哇	1
wō	ㄨㄛ	渦	2
wǒ	ㄨㄛˇ	我	1
wò	ㄨㄛˋ	喔	5
wāi	ㄨㄞ	歪	1
wài	ㄨㄞˋ	外	1
wēi	ㄨㄟ	偎	5
wéi	ㄨㄟˊ	危	14
wěi	ㄨㄟˇ	偉	8
wèi	ㄨㄟˋ	位	18
wān	ㄨㄢ	彎	3
wán	ㄨㄢˊ	丸	5
wǎn	ㄨㄢˇ	婉	7
wàn	ㄨㄢˋ	惋	3
wēn	ㄨㄣ	塭	2
wén	ㄨㄣˊ	文	4
wěn	ㄨㄣˇ	刎	3
wèn	ㄨㄣˋ	問	3
wāng	ㄨㄤ	汪	1
wáng	ㄨㄤˊ	亡	2
wǎng	ㄨㄤˇ	往	4
wàng	ㄨㄤˋ	妄	5
wēng	ㄨㄥ	嗡	2
wěng	ㄨㄥˇ	蓊	1
wèng	ㄨㄥˋ	甕	1
yū	ㄩ	迂	1
yú	ㄩˊ	予	20
yǔ	ㄩˇ	予	10
yù	ㄩˋ	喻	35
yuē	ㄩㄝ	曰	2
yuè	ㄩㄝˋ	岳	10
yuān	ㄩㄢ	冤	5
yuán	ㄩㄢˊ	元	13
yuǎn	ㄩㄢˇ	遠	1
yuàn	ㄩㄢˋ	怨	5
yūn	ㄩㄣ	暈	1
yún	ㄩㄣˊ	云	5
yǔn	ㄩㄣˇ	允	2
yùn	ㄩㄣˋ	孕	7
yōng	ㄩㄥ	傭	3
yǒng	ㄩㄥˇ	俑	10
yòng	ㄩㄥˋ	佣	2
ā	ㄚ	啊	2
a	˙ㄚ	啊	1
ō	ㄛ	呵	2
ó	ㄛˊ	哦	1
ē	ㄜ	阿	1
é	ㄜˊ	俄	9
ě	ㄜˇ		0
è	ㄜˋ	厄	11
āi	ㄞ	哀	5
ái	ㄞˊ	捱	3
ǎi	ㄞˇ	欸	3
ài	ㄞˋ	愛	3
èi	ㄟˋ	欸	1
āo	ㄠ	凹	1
áo	ㄠˊ	敖	5
ǎo	ㄠˇ	襖	1
ào	ㄠˋ	傲	4
ōu	ㄡ	區	5
ǒu	ㄡˇ	偶	3
òu	ㄡˋ	嘔	1
ān	ㄢ	安	5
ǎn	ㄢˇ	俺	1
àn	ㄢˋ	岸	5
ēn	ㄣ	恩	1
en	˙ㄣ	嗯	1
āng	ㄤ	骯	1
áng	ㄤˊ	昂	1
àng	ㄤˋ	盎	1
ēr	ㄦ	兒	1
ér	ㄦˊ	兒	2
ěr	ㄦˇ	爾	4
èr	ㄦˋ	二	2
