# 《重編國語辭典（修訂本）》音节统计
# 共1336个音节。
#
# https://dict.revised.moe.edu.tw/index.jsp
# 备注：
# 以下几个注音形式可能存在错误，未予纳入统计。
# - 庸傭墉慵鄘鏞: yúng ㄩㄥˊ （应作yóng，此音节未列入）
# - 㶟: léi ㄌㄟˇ（声调不一致，应作lěi，此音节已有）
# - lüán等音节暂保留。
#
# 拼音	注音	例字	字数

fán	ㄈㄢˊ	凡	24
fǎn	ㄈㄢˇ	反	2
fàn	ㄈㄢˋ	反	12
fāng	ㄈㄤ	匚	9
fáng	ㄈㄤˊ	坊	6
fǎng	ㄈㄤˇ	仿	10
fàng	ㄈㄤˋ	放	1
fēi	ㄈㄟ	啡	14
féi	ㄈㄟˊ	淝	4
fěi	ㄈㄟˇ	匪	12
fèi	ㄈㄟˋ	剕	18
fēn	ㄈㄣ	分	11
fén	ㄈㄣˊ	墳	18
fěn	ㄈㄣˇ	粉	1
fèn	ㄈㄣˋ	份	15
fēng	ㄈㄥ	丰	15
féng	ㄈㄥˊ	摓	5
fěng	ㄈㄥˇ	唪	3
fèng	ㄈㄥˋ	俸	7
fó	ㄈㄛˊ	佛	1
fōu	ㄈㄡ	不	2
fóu	ㄈㄡˊ	浮	4
fǒu	ㄈㄡˇ	不	4
fòu	ㄈㄡˋ	复	2
fū	ㄈㄨ	不	18
fú	ㄈㄨˊ	伏	67
fǔ	ㄈㄨˇ	俛	20
fù	ㄈㄨˋ	仆	35
gā	ㄍㄚ	嘎	3
gá	ㄍㄚˊ	嘎	3
gǎ	ㄍㄚˇ	玍	1
gà	ㄍㄚˋ	尬	1
ga	˙ㄍㄚ	價	1
gāi	ㄍㄞ	垓	5
gǎi	ㄍㄞˇ	改	1
gài	ㄍㄞˋ	丐	6
gān	ㄍㄢ	乾	16
gǎn	ㄍㄢˇ	感	11
gàn	ㄍㄢˋ	倝	9
gāng	ㄍㄤ	亢	17
gǎng	ㄍㄤˇ	岡	3
gàng	ㄍㄤˋ	戇	4
gāo	ㄍㄠ	咎	13
gǎo	ㄍㄠˇ	搞	8
gào	ㄍㄠˋ	告	5
gē	ㄍㄜ	割	12
gé	ㄍㄜˊ	咯	25
gě	ㄍㄜˇ	個	7
gè	ㄍㄜˋ	個	6
ge	˙ㄍㄜ	個	1
gěi	ㄍㄟˇ	給	1
gēn	ㄍㄣ	根	2
gén	ㄍㄣˊ	哏	1
gěn	ㄍㄣˇ	艮	1
gèn	ㄍㄣˋ	亙	3
gēng	ㄍㄥ	庚	9
gěng	ㄍㄥˇ	哽	9
gèng	ㄍㄥˋ	亙	3
gōng	ㄍㄨㄥ	供	16
gǒng	ㄍㄨㄥˇ	共	10
gòng	ㄍㄨㄥˋ	供	4
gōu	ㄍㄡ	勾	11
gǒu	ㄍㄡˇ	岣	7
gòu	ㄍㄡˋ	冓	16
gū	ㄍㄨ	估	22
gú	ㄍㄨˊ	骨	1
gǔ	ㄍㄨˇ	鼓	30
gù	ㄍㄨˋ	估	12
guā	ㄍㄨㄚ	䒷	15
guǎ	ㄍㄨㄚˇ	剮	2
guà	ㄍㄨㄚˋ	卦	8
guāi	ㄍㄨㄞ	乖	2
guǎi	ㄍㄨㄞˇ	枴	3
guài	ㄍㄨㄞˋ	壞	4
guān	ㄍㄨㄢ	倌	12
guǎn	ㄍㄨㄢˇ	斡	9
guàn	ㄍㄨㄢˋ	丱	17
guāng	ㄍㄨㄤ	侊	7
guǎng	ㄍㄨㄤˇ	廣	4
guàng	ㄍㄨㄤˋ	桄	2
guī	ㄍㄨㄟ	傀	17
guǐ	ㄍㄨㄟˇ	佹	17
guì	ㄍㄨㄟˋ	劊	17
gǔn	ㄍㄨㄣˇ	丨	9
gùn	ㄍㄨㄣˋ	棍	1
guō	ㄍㄨㄛ	嘓	8
guó	ㄍㄨㄛˊ	㶁	7
guǒ	ㄍㄨㄛˇ	果	8
guò	ㄍㄨㄛˋ	過	1
hā	ㄏㄚ	哈	3
há	ㄏㄚˊ	蛤	2
hǎ	ㄏㄚˇ	哈	1
hāi	ㄏㄞ	咍	3
hái	ㄏㄞˊ	孩	4
hǎi	ㄏㄞˇ	海	2
hài	ㄏㄞˋ	亥	5
hān	ㄏㄢ	㟏	8
hán	ㄏㄢˊ	函	13
hǎn	ㄏㄢˇ	厂	6
hàn	ㄏㄢˋ	含	28
hāng	ㄏㄤ	夯	1
háng	ㄏㄤˊ	吭	10
hàng	ㄏㄤˋ	桁	3
hāo	ㄏㄠ	嚆	3
háo	ㄏㄠˊ	呺	11
hǎo	ㄏㄠˇ	好	2
hào	ㄏㄠˋ	好	17
hē	ㄏㄜ	呵	3
hé	ㄏㄜˊ	何	34
hè	ㄏㄜˋ	和	15
hēi	ㄏㄟ	嘿	2
hěi	ㄏㄟˇ	黑	1
hēn	ㄏㄣ	哏	1
hén	ㄏㄣˊ	拫	2
hěn	ㄏㄣˇ	佷	3
hèn	ㄏㄣˋ	恨	1
hēng	ㄏㄥ	亨	3
héng	ㄏㄥˊ	亨	9
