# 《重編國語辭典（修訂本）》音节统计
# 共1336个音节。
#
# https://dict.revised.moe.edu.tw/index.jsp
# 备注：
# 以下几个注音形式可能存在错误，未予纳入统计。
# - 庸傭墉慵鄘鏞: yúng ㄩㄥˊ （应作yóng，此音节未列入）
# - 㶟: léi ㄌㄟˇ（声调不一致，应作lěi，此音节已有）
# - lüán等音节暂保留。
#
# 拼音	注音	例字	字数

miāo	ㄇㄧㄠ	喵	1
miáo	ㄇㄧㄠˊ	描	3
miǎo	ㄇㄧㄠˇ	杪	8
miào	ㄇㄧㄠˋ	妙	3
miē	ㄇㄧㄝ	乜	3
miè	ㄇㄧㄝˋ	幭	7
mín	ㄇㄧㄣˊ	岷	11
mǐn	ㄇㄧㄣˇ	僶	15
míng	ㄇㄧㄥˊ	冥	15
mǐng	ㄇㄧㄥˇ	皿	5
mìng	ㄇㄧㄥˋ	命	2
miù	ㄇㄧㄡˋ	繆	2
mō	ㄇㄛ	摸	1
mó	ㄇㄛˊ	劘	16
mǒ	ㄇㄛˇ	抹	1
mò	ㄇㄛˋ	万	40
móu	ㄇㄡˊ	侔	11
mǒu	ㄇㄡˇ	某	3
mòu	ㄇㄡˋ	懋	6
mú	ㄇㄨˊ	模	3
mǔ	ㄇㄨˇ	坶	8
mù	ㄇㄨˋ	仫	19
nā	ㄋㄚ	那	1
ná	ㄋㄚˊ	南	3
nǎ	ㄋㄚˇ	哪	2
nà	ㄋㄚˋ	內	11
na	˙ㄋㄚ	哪	1
nǎi	ㄋㄞˇ	乃	6
nài	ㄋㄞˋ	鼐	7
nān	ㄋㄢ	囡	1
nán	ㄋㄢˊ	南	8
nǎn	ㄋㄢˇ	戁	4
nàn	ㄋㄢˋ	難	1
náng	ㄋㄤˊ	囊	1
nǎng	ㄋㄤˇ	攮	2
nàng	ㄋㄤˋ	齉	1
nang	˙ㄋㄤ	囔	1
nāo	ㄋㄠ	孬	1
náo	ㄋㄠˊ	呶	11
nǎo	ㄋㄠˇ	惱	3
nào	ㄋㄠˋ	淖	3
nè	ㄋㄜˋ	眲	2
ne	˙ㄋㄜ	呢	1
něi	ㄋㄟˇ	哪	3
nèi	ㄋㄟˋ	內	2
nèn	ㄋㄣˋ	嫩	1
néng	ㄋㄥˊ	儜	2
ní	ㄋㄧˊ	倪	17
nǐ	ㄋㄧˇ	你	9
nì	ㄋㄧˋ	匿	10
niān	ㄋㄧㄢ	蔫	1
nián	ㄋㄧㄢˊ	哖	7
niǎn	ㄋㄧㄢˇ	拈	8
niàn	ㄋㄧㄢˋ	唸	4
niáng	ㄋㄧㄤˊ	娘	2
niàng	ㄋㄧㄤˋ	釀	1
niǎo	ㄋㄧㄠˇ	嫋	7
niào	ㄋㄧㄠˋ	尿	2
niē	ㄋㄧㄝ	捏	2
nié	ㄋㄧㄝˊ	苶	1
niè	ㄋㄧㄝˋ	乜	25
nín	ㄋㄧㄣˊ	恁	2
níng	ㄋㄧㄥˊ	凝	10
nǐng	ㄋㄧㄥˇ	擰	1
nìng	ㄋㄧㄥˋ	佞	5
niū	ㄋㄧㄡ	妞	1
niú	ㄋㄧㄡˊ	牛	1
niǔ	ㄋㄧㄡˇ	忸	6
niù	ㄋㄧㄡˋ	拗	1
nóng	ㄋㄨㄥˊ	儂	9
nòng	ㄋㄨㄥˋ	弄	1
nóu	ㄋㄡˊ	䨲	2
nòu	ㄋㄡˋ	檽	2
nú	ㄋㄨˊ	奴	5
nǔ	ㄋㄨˇ	努	3
nù	ㄋㄨˋ	傉	2
nǚ	ㄋㄩˇ	女	3
nǜ	ㄋㄩˋ	女	4
nuǎn	ㄋㄨㄢˇ	暖	3
nüè	ㄋㄩㄝˋ	瘧	3
nún	ㄋㄨㄣˊ	黁	1
nuó	ㄋㄨㄛˊ	儺	6
nuǒ	ㄋㄨㄛˇ	㛂	1
nuò	ㄋㄨㄛˋ	諾	7
ō	ㄛ	呵	3
ó	ㄛˊ	哦	1
ǒ	ㄛˇ	嚄	1
ōu	ㄡ	區	11
óu	ㄡˊ	吽	2
ǒu	ㄡˇ	偶	6
òu	ㄡˋ	嘔	2
pā	ㄆㄚ	㕷	5
pá	ㄆㄚˊ	扒	6
pà	ㄆㄚˋ	帊	5
pa	˙ㄆㄚ	杷	2
pāi	ㄆㄞ	拍	1
pái	ㄆㄞˊ	俳	6
pǎi	ㄆㄞˇ	排	1
pài	ㄆㄞˋ	湃	3
pān	ㄆㄢ	扳	4
pán	ㄆㄢˊ	媻	15
pàn	ㄆㄢˋ	判	12
pāng	ㄆㄤ	乓	5
páng	ㄆㄤˊ	傍	13
pàng	ㄆㄤˋ	胖	1
pāo	ㄆㄠ	拋	3
páo	ㄆㄠˊ	刨	14
pǎo	ㄆㄠˇ	跑	1
pào	ㄆㄠˋ	奅	7
pēi	ㄆㄟ	呸	6
péi	ㄆㄟˊ	坏	8
pèi	ㄆㄟˋ	佩	12
pēn	ㄆㄣ	噴	3
pén	ㄆㄣˊ	湓	2
pèn	ㄆㄣˋ	噴	2
pēng	ㄆㄥ	亨	15
péng	ㄆㄥˊ	倗	19
pěng	ㄆㄥˇ	捧	1
pèng	ㄆㄥˋ	椪	3
pī	ㄆㄧ	丕	17
pí	ㄆㄧˊ	啤	29
pǐ	ㄆㄧˇ	仳	11
pì	ㄆㄧˋ	僻	16
piā	ㄆㄧㄚ	㕷	2
piān	ㄆㄧㄢ	偏	7
pián	ㄆㄧㄢˊ	便	12
piǎn	ㄆㄧㄢˇ	諞	1
piàn	ㄆㄧㄢˋ	片	4
piāo	ㄆㄧㄠ	僄	9
piáo	ㄆㄧㄠˊ	嫖	3
piǎo	ㄆㄧㄠˇ	摽	11
piào	ㄆㄧㄠˋ	僄	7
piē	ㄆㄧㄝ	撇	5
piě	ㄆㄧㄝˇ	丿	2
piè	ㄆㄧㄝˋ	嫳	1
pīn	ㄆㄧㄣ	姘	2
pín	ㄆㄧㄣˊ	嚬	10
pǐn	ㄆㄧㄣˇ	品	1
pìn	ㄆㄧㄣˋ	牝	2
pīng	ㄆㄧㄥ	乒	6
píng	ㄆㄧㄥˊ	坪	22
pìng	ㄆㄧㄥˋ	聘	1
pō	ㄆㄛ	坡	6
pó	ㄆㄛˊ	婆	7
pǒ	ㄆㄛˇ	叵	6
pò	ㄆㄛˋ	哱	16
pōu	ㄆㄡ	剖	1
póu	ㄆㄡˊ	抔	4
pǒu	ㄆㄡˇ	剖	5
pū	ㄆㄨ	鋪	8
pú	ㄆㄨˊ	僕	19
pǔ	ㄆㄨˇ	哺	8
pù	ㄆㄨˋ	堡	5
q	˙ㄑ	啐	1
qī	ㄑㄧ	䫏	29
qí	ㄑㄧˊ	亓	49
qǐ	ㄑㄧˇ	䏿	12
qì	ㄑㄧˋ	乞	28
qiā	ㄑㄧㄚ	掐	1
qiǎ	ㄑㄧㄚˇ	卡	2
qià	ㄑㄧㄚˋ	帢	4
qiān	ㄑㄧㄢ	仟	25
qián	ㄑㄧㄢˊ	乾	21
qiǎn	ㄑㄧㄢˇ	嗛	5
qiàn	ㄑㄧㄢˋ	俔	17
qiāng	ㄑㄧㄤ	嗆	19
qiáng	ㄑㄧㄤˊ	嬙	10
qiǎng	ㄑㄧㄤˇ	強	7
qiàng	ㄑㄧㄤˋ	嗆	5
qiāo	ㄑㄧㄠ	墝	15
qiáo	ㄑㄧㄠˊ	僑	18
qiǎo	ㄑㄧㄠˇ	巧	5
qiào	ㄑㄧㄠˋ	俏	13
qiē	ㄑㄧㄝ	切	1
qié	ㄑㄧㄝˊ	伽	2
qiě	ㄑㄧㄝˇ	且	1
qiè	ㄑㄧㄝˋ	切	16
qīn	ㄑㄧㄣ	侵	7
qín	ㄑㄧㄣˊ	勤	17
qǐn	ㄑㄧㄣˇ	寢	3
qìn	ㄑㄧㄣˋ	沁	4
qīng	ㄑㄧㄥ	傾	13
qíng	ㄑㄧㄥˊ	勍	8
qǐng	ㄑㄧㄥˇ	廎	3
qìng	ㄑㄧㄥˋ	慶	6
qiōng	ㄑㄩㄥ	穹	3
qióng	ㄑㄩㄥˊ	嬛	15
qiū	ㄑㄧㄡ	丘	12
qiú	ㄑㄧㄡˊ	仇	26
qiǔ	ㄑㄧㄡˇ	糗	1
qū	ㄑㄩ	佉	20
qú	ㄑㄩˊ	劬	19
qǔ	ㄑㄩˇ	取	5
qù	ㄑㄩˋ	去	7
quān	ㄑㄩㄢ	圈	4
quán	ㄑㄩㄢˊ	佺	21
quǎn	ㄑㄩㄢˇ	犬	4
quàn	ㄑㄩㄢˋ	券	3
quē	ㄑㄩㄝ	炔	3
qué	ㄑㄩㄝˊ	瘸	1
què	ㄑㄩㄝˋ	卻	17
qūn	ㄑㄩㄣ	踆	2
qún	ㄑㄩㄣˊ	群	3
rán	ㄖㄢˊ	呥	6
rǎn	ㄖㄢˇ	冉	5
rāng	ㄖㄤ	嚷	1
ráng	ㄖㄤˊ	儴	9
rǎng	ㄖㄤˇ	嚷	6
ràng	ㄖㄤˋ	懹	3
ráo	ㄖㄠˊ	嬈	5
rǎo	ㄖㄠˇ	嬈	2
rào	ㄖㄠˋ	繞	2
rě	ㄖㄜˇ	喏	3
rè	ㄖㄜˋ	熱	2
rén	ㄖㄣˊ	人	8
rěn	ㄖㄣˇ	忍	5
rèn	ㄖㄣˋ	仞	17
rēng	ㄖㄥ	扔	1
réng	ㄖㄥˊ	仍	4
rěng	ㄖㄥˇ	扔	1
rèng	ㄖㄥˋ	扔	1
rì	ㄖˋ	入	3
róng	ㄖㄨㄥˊ	容	22
rǒng	ㄖㄨㄥˇ	冗	3
róu	ㄖㄡˊ	厹	8
rǒu	ㄖㄡˇ	糅	1
ròu	ㄖㄡˋ	肉	1
rú	ㄖㄨˊ	䰰	23
rǔ	ㄖㄨˇ	乳	5
rù	ㄖㄨˋ	入	11
ruán	ㄖㄨㄢˊ	堧	2
ruǎn	ㄖㄨㄢˇ	瓀	6
ruí	ㄖㄨㄟˊ	緌	2
ruǐ	ㄖㄨㄟˇ	桵	4
ruì	ㄖㄨㄟˋ	叡	9
rún	ㄖㄨㄣˊ	犉	1
rùn	ㄖㄨㄣˋ	潤	2
ruò	ㄖㄨㄛˋ	偌	10
sā	ㄙㄚ	三	3
sǎ	ㄙㄚˇ	撒	4
sà	ㄙㄚˋ	卅	8
sa	˙ㄙㄚ	挲	1
sāi	ㄙㄞ	㘔	7
sái	ㄙㄞˊ	㘔	1
sài	ㄙㄞˋ	塞	3
sān	ㄙㄢ	三	6
sǎn	ㄙㄢˇ	傘	6
sàn	ㄙㄢˋ	三	2
sāng	ㄙㄤ	喪	2
sǎng	ㄙㄤˇ	嗓	4
sàng	ㄙㄤˋ	喪	1
sāo	ㄙㄠ	慅	9
sǎo	ㄙㄠˇ	嫂	2
sào	ㄙㄠˋ	掃	3
sè	ㄙㄜˋ	嗇	13
sēi	ㄙㄟ	塞	1
sēn	ㄙㄣ	森	2
sēng	ㄙㄥ	僧	2
shā	ㄕㄚ	剎	18
shá	ㄕㄚˊ	啥	1
shǎ	ㄕㄚˇ	傻	1
shà	ㄕㄚˋ	唼	13
sha	˙ㄕㄚ	挲	1
shāi	ㄕㄞ	篩	1
shǎi	ㄕㄞˇ	色	2
shài	ㄕㄞˋ	晒	3
shān	ㄕㄢ	刪	25
shǎn	ㄕㄢˇ	摻	4
shàn	ㄕㄢˋ	儃	28
shāng	ㄕㄤ	傷	9
shǎng	ㄕㄤˇ	上	3
shàng	ㄕㄤˋ	上	3
shāo	ㄕㄠ	䈰	14
sháo	ㄕㄠˊ	勺	5
shǎo	ㄕㄠˇ	少	1
shào	ㄕㄠˋ	劭	11
shē	ㄕㄜ	奓	4
shé	ㄕㄜˊ	什	8
shě	ㄕㄜˇ	捨	2
shè	ㄕㄜˋ	麝	20
shéi	ㄕㄟˊ	誰	1
shēn	ㄕㄣ	伸	22
shén	ㄕㄣˊ	什	3
shěn	ㄕㄣˇ	哂	11
shèn	ㄕㄣˋ	慎	9
shēng	ㄕㄥ	勝	11
shéng	ㄕㄥˊ	澠	2
shěng	ㄕㄥˇ	冼	3
shèng	ㄕㄥˋ	乘	8
shī	ㄕ	失	20
shí	ㄕˊ	什	18
shǐ	ㄕˇ	使	10
shì	ㄕˋ	䁑	48
shi	˙ㄕ	匙	1
shōu	ㄕㄡ	收	1
shóu	ㄕㄡˊ	熟	1
shǒu	ㄕㄡˇ	守	5
shòu	ㄕㄡˋ	受	9
shū	ㄕㄨ	俞	21
shú	ㄕㄨˊ	叔	10
shǔ	ㄕㄨˇ	屬	11
shù	ㄕㄨˋ	倏	24
shuā	ㄕㄨㄚ	刷	1
shuǎ	ㄕㄨㄚˇ	耍	1
shuà	ㄕㄨㄚˋ	刷	1
shuāi	ㄕㄨㄞ	摔	2
shuǎi	ㄕㄨㄞˇ	甩	1
shuài	ㄕㄨㄞˋ	帥	3
shuān	ㄕㄨㄢ	拴	3
shuàn	ㄕㄨㄢˋ	涮	3
shuāng	ㄕㄨㄤ	鷞	9
shuǎng	ㄕㄨㄤˇ	塽	2
shuàng	ㄕㄨㄤˋ	雙	1
shuí	ㄕㄨㄟˊ	誰	1
shuǐ	ㄕㄨㄟˇ	水	1
shuì	ㄕㄨㄟˋ	帨	6
shǔn	ㄕㄨㄣˇ	吮	3
shùn	ㄕㄨㄣˋ	䀢	7
shuō	ㄕㄨㄛ	說	1
shuò	ㄕㄨㄛˋ	勺	19
sī	ㄙ	偲	20
sǐ	ㄙˇ	死	1
sì	ㄙˋ	駟	26
sōng	ㄙㄨㄥ	凇	10
sóng	ㄙㄨㄥˊ	㞞	2
sǒng	ㄙㄨㄥˇ	㩳	8
sòng	ㄙㄨㄥˋ	宋	5
sōu	ㄙㄡ	叟	11
sǒu	ㄙㄡˇ	叟	6
sòu	ㄙㄡˋ	嗽	4
sū	ㄙㄨ	囌	7
sú	ㄙㄨˊ	俗	1
sù	ㄙㄨˋ	傃	33
suān	ㄙㄨㄢ	狻	3
suǎn	ㄙㄨㄢˇ	匴	2
suàn	ㄙㄨㄢˋ	筭	3
suī	ㄙㄨㄟ	夊	6
suí	ㄙㄨㄟˊ	綏	5
suǐ	ㄙㄨㄟˇ	瀡	2
suì	ㄙㄨㄟˋ	旞	18
sūn	ㄙㄨㄣ	孫	6
sǔn	ㄙㄨㄣˇ	損	4
sùn	ㄙㄨㄣˋ	噀	5
suō	ㄙㄨㄛ	傞	14
suó	ㄙㄨㄛˊ	索	1
suǒ	ㄙㄨㄛˇ	嗩	7
suò	ㄙㄨㄛˋ	些	1
tā	ㄊㄚ	他	12
tǎ	ㄊㄚˇ	塔	3
tà	ㄊㄚˋ	㒓	25
tāi	ㄊㄞ	台	3
tái	ㄊㄞˊ	儓	14
tài	ㄊㄞˋ	大	8
tai	˙ㄊㄞ	呔	1
tān	ㄊㄢ	嘽	9
tán	ㄊㄢˊ	餤	23
tǎn	ㄊㄢˇ	儃	10
tàn	ㄊㄢˋ	嘆	9
tāng	ㄊㄤ	湯	4
táng	ㄊㄤˊ	唐	17
tǎng	ㄊㄤˇ	倘	11
tàng	ㄊㄤˋ	燙	2
tāo	ㄊㄠ	叨	12
táo	ㄊㄠˊ	匋	16
tǎo	ㄊㄠˇ	討	1
tào	ㄊㄠˋ	套	1
tao	˙ㄊㄠ	萄	1
tè	ㄊㄜˋ	忑	8
téng	ㄊㄥˊ	幐	9
tī	ㄊㄧ	剔	3
tí	ㄊㄧˊ	偍	19
tǐ	ㄊㄧˇ	體	1
tì	ㄊㄧˋ	倜	21
tiān	ㄊㄧㄢ	天	3
tián	ㄊㄧㄢˊ	佃	12
tiǎn	ㄊㄧㄢˇ	㥏	8
tiàn	ㄊㄧㄢˋ	掭	4
tiāo	ㄊㄧㄠ	佻	5
tiáo	ㄊㄧㄠˊ	佻	12
tiǎo	ㄊㄧㄠˇ	䠷	6
tiào	ㄊㄧㄠˋ	朓	5
tiē	ㄊㄧㄝ	帖	4
tiě	ㄊㄧㄝˇ	帖	3
tiè	ㄊㄧㄝˋ	帖	2
tīng	ㄊㄧㄥ	廳	8
tíng	ㄊㄧㄥˊ	亭	12
tǐng	ㄊㄧㄥˇ	頲	10
tìng	ㄊㄧㄥˋ	聽	1
tōng	ㄊㄨㄥ	恫	3
tóng	ㄊㄨㄥˊ	佟	25
tǒng	ㄊㄨㄥˇ	捅	4
tòng	ㄊㄨㄥˋ	同	4
tōu	ㄊㄡ	偷	3
tóu	ㄊㄡˊ	亠	5
tǒu	ㄊㄡˇ	黈	1
tòu	ㄊㄡˋ	透	1
tou	˙ㄊㄡ	頭	1
tū	ㄊㄨ	凸	5
tú	ㄊㄨˊ	凸	22
tǔ	ㄊㄨˇ	吐	4
tù	ㄊㄨˋ	兔	4
tuān	ㄊㄨㄢ	湍	2
tuán	ㄊㄨㄢˊ	剸	7
tuǎn	ㄊㄨㄢˇ	畽	2
tuàn	ㄊㄨㄢˋ	彖	2
tuī	ㄊㄨㄟ	推	2
tuí	ㄊㄨㄟˊ	蹪	4
tuǐ	ㄊㄨㄟˇ	僓	2
tuì	ㄊㄨㄟˋ	侻	6
tūn	ㄊㄨㄣ	涒	5
tún	ㄊㄨㄣˊ	囤	10
tǔn	ㄊㄨㄣˇ	汆	1
tùn	ㄊㄨㄣˋ	褪	1
tuō	ㄊㄨㄛ	他	13
tuó	ㄊㄨㄛˊ	佗	19
tuǒ	ㄊㄨㄛˇ	妥	4
tuò	ㄊㄨㄛˋ	唾	7
wā	ㄨㄚ	凹	11
wá	ㄨㄚˊ	娃	2
wǎ	ㄨㄚˇ	佤	2
wà	ㄨㄚˋ	䍪	7
wa	˙ㄨㄚ	哇	1
wāi	ㄨㄞ	歪	1
wǎi	ㄨㄞˇ	歪	1
wài	ㄨㄞˋ	外	1
wān	ㄨㄢ	剜	7
wán	ㄨㄢˊ	丸	11
wǎn	ㄨㄢˇ	娩	22
wàn	ㄨㄢˋ	卍	10
wāng	ㄨㄤ	尢	3
wáng	ㄨㄤˊ	亡	3
wǎng	ㄨㄤˇ	俇	10
wàng	ㄨㄤˋ	妄	6
wēi	ㄨㄟ	倭	16
wéi	ㄨㄟˊ	危	22
wěi	ㄨㄟˇ	亹	27
wèi	ㄨㄟˋ	位	26
wēn	ㄨㄣ	塭	5
wén	ㄨㄣˊ	文	7
wěn	ㄨㄣˇ	刎	3
wèn	ㄨㄣˋ	免	10
wēng	ㄨㄥ	嗡	2
wěng	ㄨㄥˇ	塕	4
wèng	ㄨㄥˋ	瓮	4
wō	ㄨㄛ	倭	6
wǒ	ㄨㄛˇ	䰀	4
wò	ㄨㄛˋ	偓	14
wū	ㄨ	剭	16
wú	ㄨˊ	亡	18
wǔ	ㄨˇ	鵡	22
wù	ㄨˋ	兀	31
xī	ㄒㄧ	傒	71
xí	ㄒㄧˊ	媳	22
xǐ	ㄒㄧˇ	喜	16
xì	ㄒㄧˋ	係	40
xiā	ㄒㄧㄚ	呀	4
xiá	ㄒㄧㄚˊ	㭘	25
xià	ㄒㄧㄚˋ	下	9
xiān	ㄒㄧㄢ	仙	24
xián	ㄒㄧㄢˊ	咸	20
xiǎn	ㄒㄧㄢˇ	姺	24
xiàn	ㄒㄧㄢˋ	俔	21
xiāng	ㄒㄧㄤ	勷	17
xiáng	ㄒㄧㄤˊ	庠	7
xiǎng	ㄒㄧㄤˇ	享	7
xiàng	ㄒㄧㄤˋ	像	14
xiāo	ㄒㄧㄠ	削	32
xiáo	ㄒㄧㄠˊ	洨	5
xiǎo	ㄒㄧㄠˇ	小	5
xiào	ㄒㄧㄠˋ	傚	11
xiē	ㄒㄧㄝ	些	6
xié	ㄒㄧㄝˊ	偕	20
xiě	ㄒㄧㄝˇ	寫	3
xiè	ㄒㄧㄝˋ	偰	36
xīn	ㄒㄧㄣ	心	15
xín	ㄒㄧㄣˊ	尋	3
xǐn	ㄒㄧㄣˇ	伈	1
xìn	ㄒㄧㄣˋ	信	7
xīng	ㄒㄧㄥ	惺	9
xíng	ㄒㄧㄥˊ	刑	12
xǐng	ㄒㄧㄥˇ	惺	4
xìng	ㄒㄧㄥˋ	倖	11
xiōng	ㄒㄩㄥ	兄	10
xióng	ㄒㄩㄥˊ	熊	2
xiòng	ㄒㄩㄥˋ	敻	2
xiū	ㄒㄧㄡ	休	10
xiǔ	ㄒㄧㄡˇ	休	4
xiù	ㄒㄧㄡˋ	嗅	12
xū	ㄒㄩ	于	23
xú	ㄒㄩˊ	余	3
xǔ	ㄒㄩˇ	休	16
xù	ㄒㄩˋ	侐	29
xuān	ㄒㄩㄢ	儇	20
xuán	ㄒㄩㄢˊ	懸	8
xuǎn	ㄒㄩㄢˇ	咺	4
xuàn	ㄒㄩㄢˋ	旋	16
xuē	ㄒㄩㄝ	噱	3
xué	ㄒㄩㄝˊ	學	7
xuě	ㄒㄩㄝˇ	雪	2
xuè	ㄒㄩㄝˋ	削	8
xūn	ㄒㄩㄣ	勛	13
xún	ㄒㄩㄣˊ	噚	22
xùn	ㄒㄩㄣˋ	侚	17
yā	ㄧㄚ	丫	10
yá	ㄧㄚˊ	押	10
yǎ	ㄧㄚˇ	亞	7
yà	ㄧㄚˋ	亞	16
yái	ㄧㄞˊ	厓	4
yān	ㄧㄢ	厭	20
yán	ㄧㄢˊ	嚴	30
yǎn	ㄧㄢˇ	㫃	35
yàn	ㄧㄢˋ	俺	38
yāng	ㄧㄤ	佒	8
yáng	ㄧㄤˊ	佯	17
yǎng	ㄧㄤˇ	仰	8
yàng	ㄧㄤˋ	怏	8
yāo	ㄧㄠ	么	15
yáo	ㄧㄠˊ	傜	32
yǎo	ㄧㄠˇ	偠	15
yào	ㄧㄠˋ	曜	13
yē	ㄧㄝ	噎	3
yé	ㄧㄝˊ	揶	10
yě	ㄧㄝˇ	也	4
yè	ㄧㄝˋ	㖡	27
ye	˙ㄧㄝ	吔	1
yī	ㄧ	一	27
yí	ㄧˊ	侇	46
yǐ	ㄧˇ	乙	26
yì	ㄧˋ	㵝	116
yīn	ㄧㄣ	喑	21
yín	ㄧㄣˊ	㹜	22
yǐn	ㄧㄣˇ	听	15
yìn	ㄧㄣˋ	印	12
yīng	ㄧㄥ	嚶	20
yíng	ㄧㄥˊ	塋	19
yǐng	ㄧㄥˇ	影	6
yìng	ㄧㄥˋ	媵	5
yō	ㄧㄛ	唷	1
yōng	ㄩㄥ	傭	20
yóng	ㄩㄥˊ	喁	2
yǒng	ㄩㄥˇ	俑	16
yòng	ㄩㄥˋ	佣	4
yōu	ㄧㄡ	优	15
yóu	ㄧㄡˊ	冘	26
yǒu	ㄧㄡˇ	卣	13
yòu	ㄧㄡˋ	佑	17
yū	ㄩ	汙	5
yú	ㄩˊ	予	64
yǔ	ㄩˇ	予	23
yù	ㄩˋ	㖪	81
yuān	ㄩㄢ	冤	11
yuán	ㄩㄢˊ	京	31
yuǎn	ㄩㄢˇ	遠	1
yuàn	ㄩㄢˋ	原	12
yuē	ㄩㄝ	噦	3
yuè	ㄩㄝˋ	刖	30
yūn	ㄩㄣ	奫	8
yún	ㄩㄣˊ	云	16
yǔn	ㄩㄣˇ	允	5
yùn	ㄩㄣˋ	員	19
zā	ㄗㄚ	匝	5
zá	ㄗㄚˊ	偺	9
zāi	ㄗㄞ	哉	5
zǎi	ㄗㄞˇ	仔	4
zài	ㄗㄞˋ	再	4
zān	ㄗㄢ	鐕	4
zán	ㄗㄢˊ	偺	4
zǎn	ㄗㄢˇ	䰖	8
zàn	ㄗㄢˋ	囋	9
zāng	ㄗㄤ	牂	5
zǎng	ㄗㄤˇ	駔	2
zàng	ㄗㄤˋ	藏	5
zāo	ㄗㄠ	糟	3
záo	ㄗㄠˊ	鑿	1
zǎo	ㄗㄠˇ	早	7
zào	ㄗㄠˋ	唕	14
zé	ㄗㄜˊ	則	20
zě	ㄗㄜˇ	怎	1
zè	ㄗㄜˋ	仄	7
zéi	ㄗㄟˊ	賊	1
zēn	ㄗㄣ	簪	1
zěn	ㄗㄣˇ	怎	1
zèn	ㄗㄣˋ	譖	1
zēng	ㄗㄥ	增	7
zèng	ㄗㄥˋ	甑	4
zhā	ㄓㄚ	喳	13
zhá	ㄓㄚˊ	劄	12
zhǎ	ㄓㄚˇ	厏	9
zhà	ㄓㄚˋ	醡	16
zhāi	ㄓㄞ	摘	3
zhái	ㄓㄞˊ	宅	3
zhǎi	ㄓㄞˇ	窄	1
zhài	ㄓㄞˋ	債	7
zhān	ㄓㄢ	佔	18
zhǎn	ㄓㄢˇ	展	12
zhàn	ㄓㄢˋ	佔	15
zhāng	ㄓㄤ	嫜	14
zhǎng	ㄓㄤˇ	仉	4
zhàng	ㄓㄤˋ	丈	13
zhāo	ㄓㄠ	嘲	7
zháo	ㄓㄠˊ	著	1
zhǎo	ㄓㄠˇ	找	3
zhào	ㄓㄠˋ	㑿	16
zhē	ㄓㄜ	㸙	5
zhé	ㄓㄜˊ	哲	19
zhě	ㄓㄜˇ	摺	5
zhè	ㄓㄜˋ	嗻	9
zhe	˙ㄓㄜ	著	1
zhèi	ㄓㄟˋ	這	1
zhēn	ㄓㄣ	偵	27
zhěn	ㄓㄣˇ	抌	16
zhèn	ㄓㄣˋ	侲	19
zhēng	ㄓㄥ	丁	20
zhěng	ㄓㄥˇ	拯	3
zhèng	ㄓㄥˋ	幀	8
zhī	ㄓ	之	26
zhí	ㄓˊ	侄	27
zhǐ	ㄓˇ	厎	24
zhì	ㄓˋ	值	61
zhōng	ㄓㄨㄥ	中	14
zhǒng	ㄓㄨㄥˇ	冢	6
zhòng	ㄓㄨㄥˋ	中	6
zhōu	ㄓㄡ	侜	16
zhóu	ㄓㄡˊ	妯	3
zhǒu	ㄓㄡˇ	帚	2
zhòu	ㄓㄡˋ	㑳	17
zhū	ㄓㄨ	侏	19
zhú	ㄓㄨˊ	妯	16
zhǔ	ㄓㄨˇ	丶	13
zhù	ㄓㄨˋ	佇	33
zhuā	ㄓㄨㄚ	抓	4
zhuǎ	ㄓㄨㄚˇ	爪	1
zhuāi	ㄓㄨㄞ	拽	1
zhuǎi	ㄓㄨㄞˇ	跩	1
zhuài	ㄓㄨㄞˋ	拽	1
zhuān	ㄓㄨㄢ	剸	9
zhuǎn	ㄓㄨㄢˇ	囀	3
zhuàn	ㄓㄨㄢˋ	傳	11
zhuāng	ㄓㄨㄤ	妝	4
zhuǎng	ㄓㄨㄤˇ	奘	1
zhuàng	ㄓㄨㄤˋ	僮	7
zhuī	ㄓㄨㄟ	椎	6
zhuì	ㄓㄨㄟˋ	墜	8
zhūn	ㄓㄨㄣ	屯	6
zhǔn	ㄓㄨㄣˇ	准	5
zhùn	ㄓㄨㄣˋ	訰	1
zhuō	ㄓㄨㄛ	卓	5
zhuó	ㄓㄨㄛˊ	倬	39
zī	ㄗ	仔	34
zǐ	ㄗˇ	仔	15
zì	ㄗˋ	倳	12
zi	˙ㄗ	子	1
zōng	ㄗㄨㄥ	倧	14
zǒng	ㄗㄨㄥˇ	傯	5
zòng	ㄗㄨㄥˋ	從	5
zōu	ㄗㄡ	掫	15
zǒu	ㄗㄡˇ	走	1
zòu	ㄗㄡˋ	奏	3
zū	ㄗㄨ	租	2
zú	ㄗㄨˊ	卒	9
zǔ	ㄗㄨˇ	俎	5
zù	ㄗㄨˋ	駔	1
zuān	ㄗㄨㄢ	躦	2
zuǎn	ㄗㄨㄢˇ	䰖	5
zuàn	ㄗㄨㄢˋ	攥	3
zuī	ㄗㄨㄟ	羧	2
zuǐ	ㄗㄨㄟˇ	嘴	3
zuì	ㄗㄨㄟˋ	冣	9
zūn	ㄗㄨㄣ	尊	6
zǔn	ㄗㄨㄣˇ	僔	4
zùn	ㄗㄨㄣˋ	圳	3
zuō	ㄗㄨㄛ	作	2
zuó	ㄗㄨㄛˊ	作	5
zuǒ	ㄗㄨㄛˇ	佐	3
