# 《國語辭典簡編本》注音索引
# 共1224个音节
#
# https://dict.concised.moe.edu.tw/searchP.jsp
#
# 拼音	注音	例字	字数

dé	ㄉㄜˊ	得	2
de	˙ㄉㄜ	地	4
dāi	ㄉㄞ	呆	3
dǎi	ㄉㄞˇ	歹	2
dài	ㄉㄞˋ	大	16
děi	ㄉㄟˇ	得	1
dāo	ㄉㄠ	刀	2
dǎo	ㄉㄠˇ	倒	6
dào	ㄉㄠˋ	到	8
dōu	ㄉㄡ	都	2
dǒu	ㄉㄡˇ	斗	4
dòu	ㄉㄡˋ	豆	7
dān	ㄉㄢ	丹	10
dǎn	ㄉㄢˇ	疸	4
dàn	ㄉㄢˋ	石	14
dāng	ㄉㄤ	當	5
dǎng	ㄉㄤˇ	党	6
dàng	ㄉㄤˋ	宕	4
dēng	ㄉㄥ	登	2
děng	ㄉㄥˇ	等	2
dèng	ㄉㄥˋ	凳	7
dī	ㄉㄧ	氐	3
dí	ㄉㄧˊ	狄	11
dǐ	ㄉㄧˇ	底	7
dì	ㄉㄧˋ	地	12
diē	ㄉㄧㄝ	爹	2
dié	ㄉㄧㄝˊ	迭	13
diāo	ㄉㄧㄠ	刁	10
diǎo	ㄉㄧㄠˇ	屌	1
diào	ㄉㄧㄠˋ	弔	6
diū	ㄉㄧㄡ	丟	1
diān	ㄉㄧㄢ	掂	5
diǎn	ㄉㄧㄢˇ	典	3
diàn	ㄉㄧㄢˋ	佃	14
dīng	ㄉㄧㄥ	丁	8
dǐng	ㄉㄧㄥˇ	耵	4
dìng	ㄉㄧㄥˋ	定	5
dū	ㄉㄨ	都	3
dú	ㄉㄨˊ	毒	9
dǔ	ㄉㄨˇ	肚	5
dù	ㄉㄨˋ	杜	7
duō	ㄉㄨㄛ	多	2
duó	ㄉㄨㄛˊ	掇	3
duǒ	ㄉㄨㄛˇ	朵	3
duò	ㄉㄨㄛˋ	咄	10
duī	ㄉㄨㄟ	堆	1
duì	ㄉㄨㄟˋ	兌	6
duān	ㄉㄨㄢ	端	1
duǎn	ㄉㄨㄢˇ	短	1
duàn	ㄉㄨㄢˋ	段	4
dūn	ㄉㄨㄣ	敦	4
dǔn	ㄉㄨㄣˇ	盹	2
dùn	ㄉㄨㄣˋ	沌	10
dōng	ㄉㄨㄥ	冬	5
dǒng	ㄉㄨㄥˇ	董	2
dòng	ㄉㄨㄥˋ	侗	9
tā	ㄊㄚ	它	7
tǎ	ㄊㄚˇ	塔	1
tà	ㄊㄚˋ	拓	12
tè	ㄊㄜˋ	忒	4
tāi	ㄊㄞ	胎	2
tái	ㄊㄞˊ	抬	8
tài	ㄊㄞˋ	太	6
tāo	ㄊㄠ	叨	7
táo	ㄊㄠˊ	桃	8
tǎo	ㄊㄠˇ	討	1
tào	ㄊㄠˋ	套	1
tōu	ㄊㄡ	偷	1
tóu	ㄊㄡˊ	投	3
tòu	ㄊㄡˋ	透	1
tou	˙ㄊㄡ	頭	1
tān	ㄊㄢ	坍	5
tán	ㄊㄢˊ	覃	12
tǎn	ㄊㄢˇ	忐	4
tàn	ㄊㄢˋ	炭	5
tāng	ㄊㄤ	湯	3
táng	ㄊㄤˊ	唐	10
tǎng	ㄊㄤˇ	帑	5
tàng	ㄊㄤˋ	趟	2
téng	ㄊㄥˊ	疼	6
tī	ㄊㄧ	剔	3
tí	ㄊㄧˊ	堤	9
