# 《國語辭典簡編本》注音索引
# 共1224个音节
#
# https://dict.concised.moe.edu.tw/searchP.jsp
#
# 拼音	注音	例字	字数

qiáo	ㄑㄧㄠˊ	喬	8
qiǎo	ㄑㄧㄠˇ	巧	3
qiào	ㄑㄧㄠˋ	俏	6
qiū	ㄑㄧㄡ	丘	8
qiú	ㄑㄧㄡˊ	仇	12
qiǔ	ㄑㄧㄡˇ	糗	1
qiān	ㄑㄧㄢ	千	17
qián	ㄑㄧㄢˊ	前	10
qiǎn	ㄑㄧㄢˇ	淺	4
qiàn	ㄑㄧㄢˋ	欠	8
qīn	ㄑㄧㄣ	侵	6
qín	ㄑㄧㄣˊ	芹	9
qǐn	ㄑㄧㄣˇ	寢	1
qìn	ㄑㄧㄣˋ	沁	1
qiāng	ㄑㄧㄤ	羌	9
qiáng	ㄑㄧㄤˊ	戕	7
qiǎng	ㄑㄧㄤˇ	強	5
qiàng	ㄑㄧㄤˋ	嗆	2
qīng	ㄑㄧㄥ	青	9
qíng	ㄑㄧㄥˊ	情	5
qǐng	ㄑㄧㄥˇ	頃	2
qìng	ㄑㄧㄥˋ	慶	4
qū	ㄑㄩ	曲	11
qú	ㄑㄩˊ	劬	8
qǔ	ㄑㄩˇ	曲	4
qù	ㄑㄩˋ	去	4
quē	ㄑㄩㄝ	炔	3
qué	ㄑㄩㄝˊ	瘸	1
què	ㄑㄩㄝˋ	怯	10
quān	ㄑㄩㄢ	圈	1
quán	ㄑㄩㄢˊ	全	15
quǎn	ㄑㄩㄢˇ	犬	3
quàn	ㄑㄩㄢˋ	券	2
qūn	ㄑㄩㄣ	逡	1
qún	ㄑㄩㄣˊ	裙	2
qiōng	ㄑㄩㄥ	芎	2
qióng	ㄑㄩㄥˊ	蛩	5
xī	ㄒㄧ	兮	41
xí	ㄒㄧˊ	昔	13
xǐ	ㄒㄧˇ	洒	7
xì	ㄒㄧˋ	夕	12
xiā	ㄒㄧㄚ	蝦	2
xiá	ㄒㄧㄚˊ	匣	14
xià	ㄒㄧㄚˋ	下	6
xiē	ㄒㄧㄝ	些	4
xié	ㄒㄧㄝˊ	邪	10
xiě	ㄒㄧㄝˇ	血	2
xiè	ㄒㄧㄝˋ	泄	18
xiāo	ㄒㄧㄠ	削	16
xiǎo	ㄒㄧㄠˇ	小	5
xiào	ㄒㄧㄠˋ	孝	8
xiū	ㄒㄧㄡ	休	7
xiǔ	ㄒㄧㄡˇ	朽	3
xiù	ㄒㄧㄡˋ	秀	10
xiān	ㄒㄧㄢ	仙	8
xián	ㄒㄧㄢˊ	弦	14
xiǎn	ㄒㄧㄢˇ	洗	11
xiàn	ㄒㄧㄢˋ	見	13
xīn	ㄒㄧㄣ	心	12
xìn	ㄒㄧㄣˋ	囟	3
xiāng	ㄒㄧㄤ	相	10
xiáng	ㄒㄧㄤˊ	羊	6
xiǎng	ㄒㄧㄤˇ	享	6
xiàng	ㄒㄧㄤˋ	向	8
xīng	ㄒㄧㄥ	星	6
xíng	ㄒㄧㄥˊ	刑	8
xǐng	ㄒㄧㄥˇ	省	3
xìng	ㄒㄧㄥˋ	興	9
xū	ㄒㄩ	戌	11
xú	ㄒㄩˊ	徐	1
xǔ	ㄒㄩˇ	咻	5
xù	ㄒㄩˋ	旭	16
xuē	ㄒㄩㄝ	靴	3
xué	ㄒㄩㄝˊ	踅	3
xuě	ㄒㄩㄝˇ	雪	2
xuè	ㄒㄩㄝˋ	穴	2
xuān	ㄒㄩㄢ	宣	8
xuán	ㄒㄩㄢˊ	玄	6
xuǎn	ㄒㄩㄢˇ	選	1
xuàn	ㄒㄩㄢˋ	泫	7
xūn	ㄒㄩㄣ	勛	7
xún	ㄒㄩㄣˊ	旬	11
xùn	ㄒㄩㄣˋ	汛	10
xiōng	ㄒㄩㄥ	凶	6
xióng	ㄒㄩㄥˊ	雄	2
xiòng	ㄒㄩㄥˋ	敻	1
zhī	ㄓ	之	18
zhí	ㄓˊ	直	16
zhǐ	ㄓˇ	止	14
zhì	ㄓˋ	至	34
zhā	ㄓㄚ	扎	5
zhá	ㄓㄚˊ	扎	7
zhǎ	ㄓㄚˇ	眨	1
zhà	ㄓㄚˋ	乍	9
zhē	ㄓㄜ	折	3
zhé	ㄓㄜˊ	折	11
zhě	ㄓㄜˇ	者	3
zhè	ㄓㄜˋ	浙	4
zhe	˙ㄓㄜ	著	1
zhāi	ㄓㄞ	摘	2
zhái	ㄓㄞˊ	宅	2
zhǎi	ㄓㄞˇ	窄	1
zhài	ㄓㄞˋ	柴	3
zhāo	ㄓㄠ	招	5
zháo	ㄓㄠˊ	著	1
zhǎo	ㄓㄠˇ	爪	3
zhào	ㄓㄠˋ	召	10
zhōu	ㄓㄡ	州	7
zhóu	ㄓㄡˊ	妯	2
zhǒu	ㄓㄡˇ	肘	2
zhòu	ㄓㄡˋ	宙	9
zhān	ㄓㄢ	占	8
zhǎn	ㄓㄢˇ	展	6
zhàn	ㄓㄢˋ	占	10
zhēn	ㄓㄣ	珍	15
zhěn	ㄓㄣˇ	枕	7
zhèn	ㄓㄣˋ	枕	9
zhāng	ㄓㄤ	章	8
zhǎng	ㄓㄤˇ	仉	4
zhàng	ㄓㄤˋ	丈	11
zhēng	ㄓㄥ	正	16
zhěng	ㄓㄥˇ	拯	2
zhèng	ㄓㄥˋ	正	8
zhū	ㄓㄨ	朱	15
zhú	ㄓㄨˊ	朮	9
zhǔ	ㄓㄨˇ	主	9
zhù	ㄓㄨˋ	助	16
zhuā	ㄓㄨㄚ	抓	1
zhuǎ	ㄓㄨㄚˇ	爪	1
zhuō	ㄓㄨㄛ	捉	3
zhuó	ㄓㄨㄛˊ	繳	16
zhuǎi	ㄓㄨㄞˇ	跩	1
zhuài	ㄓㄨㄞˋ	拽	1
zhuī	ㄓㄨㄟ	隹	5
zhuì	ㄓㄨㄟˋ	惴	5
zhuān	ㄓㄨㄢ	專	3
zhuǎn	ㄓㄨㄢˇ	轉	2
zhuàn	ㄓㄨㄢˋ	傳	6
zhūn	ㄓㄨㄣ	屯	4
zhǔn	ㄓㄨㄣˇ	准	3
zhuāng	ㄓㄨㄤ	妝	4
zhuàng	ㄓㄨㄤˋ	戇	5
zhōng	ㄓㄨㄥ	中	9
zhǒng	ㄓㄨㄥˇ	冢	5
zhòng	ㄓㄨㄥˋ	中	5
chī	ㄔ	吃	9
chí	ㄔˊ	池	8
chǐ	ㄔˇ	尺	7
chì	ㄔˋ	彳	9
chā	ㄔㄚ	叉	4
chá	ㄔㄚˊ	查	6
chà	ㄔㄚˋ	汊	5
chē	ㄔㄜ	車	1
chě	ㄔㄜˇ	尺	2
chè	ㄔㄜˋ	掣	5
chāi	ㄔㄞ	拆	3
chái	ㄔㄞˊ	柴	3
chāo	ㄔㄠ	抄	4
cháo	ㄔㄠˊ	晁	5
chǎo	ㄔㄠˇ	吵	2
chōu	ㄔㄡ	抽	1
chóu	ㄔㄡˊ	仇	12
chǒu	ㄔㄡˇ	丑	3
chòu	ㄔㄡˋ	臭	1
chān	ㄔㄢ	摻	2
chán	ㄔㄢˊ	單	12
chǎn	ㄔㄢˇ	產	5
chàn	ㄔㄢˋ	懺	2
chēn	ㄔㄣ	琛	3
chén	ㄔㄣˊ	臣	10
chèn	ㄔㄣˋ	疢	6
chāng	ㄔㄤ	昌	7
cháng	ㄔㄤˊ	長	10
chǎng	ㄔㄤˇ	昶	5
chàng	ㄔㄤˋ	倡	4
chēng	ㄔㄥ	偁	6
chéng	ㄔㄥˊ	成	14
chěng	ㄔㄥˇ	逞	2
chèng	ㄔㄥˋ	秤	2
chū	ㄔㄨ	出	3
chú	ㄔㄨˊ	芻	10
chǔ	ㄔㄨˇ	杵	5
chù	ㄔㄨˋ	亍	9
chuǎ	ㄔㄨㄚˇ	抓	1
chuō	ㄔㄨㄛ	戳	1
chuò	ㄔㄨㄛˋ	啜	4
chuǎi	ㄔㄨㄞˇ	揣	1
chuài	ㄔㄨㄞˋ	踹	1
chuī	ㄔㄨㄟ	吹	2
chuí	ㄔㄨㄟˊ	垂	8
chuān	ㄔㄨㄢ	川	2
chuán	ㄔㄨㄢˊ	船	4
chuǎn	ㄔㄨㄢˇ	舛	2
chuàn	ㄔㄨㄢˋ	串	2
chūn	ㄔㄨㄣ	春	2
chún	ㄔㄨㄣˊ	屯	6
chǔn	ㄔㄨㄣˇ	蠢	1
chuāng	ㄔㄨㄤ	囪	4
chuáng	ㄔㄨㄤˊ	床	2
chuǎng	ㄔㄨㄤˇ	闖	1
chuàng	ㄔㄨㄤˋ	創	2
chōng	ㄔㄨㄥ	充	6
chóng	ㄔㄨㄥˊ	虫	4
chǒng	ㄔㄨㄥˇ	寵	1
chòng	ㄔㄨㄥˋ	銃	2
shī	ㄕ	尸	11
shí	ㄕˊ	十	11
shǐ	ㄕˇ	史	7
shì	ㄕˋ	士	30
shi	˙ㄕ	匙	1
shā	ㄕㄚ	沙	10
shá	ㄕㄚˊ	啥	1
shǎ	ㄕㄚˇ	傻	1
shà	ㄕㄚˋ	歃	3
shē	ㄕㄜ	奢	3
shé	ㄕㄜˊ	舌	4
shě	ㄕㄜˇ	舍	2
shè	ㄕㄜˋ	社	10
shāi	ㄕㄞ	篩	1
shǎi	ㄕㄞˇ	色	1
shài	ㄕㄞˋ	晒	2
shéi	ㄕㄟˊ	誰	1
shāo	ㄕㄠ	捎	5
sháo	ㄕㄠˊ	勺	4
shǎo	ㄕㄠˇ	少	1
shào	ㄕㄠˋ	少	7
shōu	ㄕㄡ	收	1
shóu	ㄕㄡˊ	熟	1
shǒu	ㄕㄡˇ	手	3
shòu	ㄕㄡˋ	受	8
shān	ㄕㄢ	山	14
shǎn	ㄕㄢˇ	閃	2
shàn	ㄕㄢˋ	汕	15
shēn	ㄕㄣ	申	12
shén	ㄕㄣˊ	什	3
shěn	ㄕㄣˇ	沈	5
shèn	ㄕㄣˋ	甚	6
shāng	ㄕㄤ	商	5
shǎng	ㄕㄤˇ	上	3
shàng	ㄕㄤˋ	上	2
shang	˙ㄕㄤ	裳	1
shēng	ㄕㄥ	升	9
shéng	ㄕㄥˊ	澠	2
shěng	ㄕㄥˇ	省	2
shèng	ㄕㄥˋ	乘	7
shū	ㄕㄨ	疋	13
shú	ㄕㄨˊ	叔	6
shǔ	ㄕㄨˇ	暑	10
shù	ㄕㄨˋ	戍	14
shuā	ㄕㄨㄚ	刷	1
shuǎ	ㄕㄨㄚˇ	耍	1
shuō	ㄕㄨㄛ	說	1
shuò	ㄕㄨㄛˋ	妁	8
shuāi	ㄕㄨㄞ	衰	2
shuǎi	ㄕㄨㄞˇ	甩	1
shuài	ㄕㄨㄞˋ	帥	3
shuǐ	ㄕㄨㄟˇ	水	1
shuì	ㄕㄨㄟˋ	帨	4
shuān	ㄕㄨㄢ	拴	3
shuàn	ㄕㄨㄢˋ	涮	1
shǔn	ㄕㄨㄣˇ	吮	1
shùn	ㄕㄨㄣˋ	舜	3
shuāng	ㄕㄨㄤ	霜	4
shuǎng	ㄕㄨㄤˇ	爽	1
rì	ㄖˋ	日	1
rě	ㄖㄜˇ	若	2
rè	ㄖㄜˋ	熱	1
ráo	ㄖㄠˊ	嬈	3
rǎo	ㄖㄠˇ	擾	1
rào	ㄖㄠˋ	遶	2
róu	ㄖㄡˊ	柔	3
ròu	ㄖㄡˋ	肉	1
rán	ㄖㄢˊ	然	3
rǎn	ㄖㄢˇ	冉	3
rén	ㄖㄣˊ	人	4
rěn	ㄖㄣˇ	忍	3
rèn	ㄖㄣˋ	刃	12
ráng	ㄖㄤˊ	攘	3
rǎng	ㄖㄤˇ	壤	2
ràng	ㄖㄤˋ	讓	1
rēng	ㄖㄥ	扔	1
réng	ㄖㄥˊ	仍	1
rú	ㄖㄨˊ	如	7
rǔ	ㄖㄨˇ	女	3
rù	ㄖㄨˋ	入	5
ruò	ㄖㄨㄛˋ	若	4
ruí	ㄖㄨㄟˊ	蕤	1
ruǐ	ㄖㄨㄟˇ	蕊	1
ruì	ㄖㄨㄟˋ	芮	6
ruǎn	ㄖㄨㄢˇ	阮	2
rùn	ㄖㄨㄣˋ	閏	2
róng	ㄖㄨㄥˊ	戎	13
rǒng	ㄖㄨㄥˇ	冗	1
zī	ㄗ	孜	16
zǐ	ㄗˇ	子	10
zì	ㄗˋ	字	5
zi	˙ㄗ	子	1
zā	ㄗㄚ	匝	2
zá	ㄗㄚˊ	咱	3
zé	ㄗㄜˊ	咋	7
zè	ㄗㄜˋ	仄	2
zāi	ㄗㄞ	災	3
zǎi	ㄗㄞˇ	宰	4
zài	ㄗㄞˋ	再	3
zéi	ㄗㄟˊ	賊	1
zāo	ㄗㄠ	遭	3
záo	ㄗㄠˊ	鑿	1
zǎo	ㄗㄠˇ	早	5
zào	ㄗㄠˋ	灶	7
zōu	ㄗㄡ	鄒	2
zǒu	ㄗㄡˇ	走	1
zòu	ㄗㄡˋ	奏	3
zān	ㄗㄢ	簪	1
zán	ㄗㄢˊ	咱	2
zǎn	ㄗㄢˇ	拶	2
zàn	ㄗㄢˋ	贊	2
zěn	ㄗㄣˇ	怎	1
zèn	ㄗㄣˋ	譖	1
zāng	ㄗㄤ	臧	4
zàng	ㄗㄤˋ	奘	4
zēng	ㄗㄥ	曾	4
zèng	ㄗㄥˋ	甑	2
zū	ㄗㄨ	租	1
zú	ㄗㄨˊ	足	4
zǔ	ㄗㄨˇ	阻	5
zuō	ㄗㄨㄛ	嘬	1
zuó	ㄗㄨㄛˊ	作	2
zuǒ	ㄗㄨㄛˇ	左	2
zuò	ㄗㄨㄛˋ	作	8
zuǐ	ㄗㄨㄟˇ	嘴	1
zuì	ㄗㄨㄟˋ	晬	5
zuān	ㄗㄨㄢ	鑽	1
zuǎn	ㄗㄨㄢˇ	纂	1
zuàn	ㄗㄨㄢˋ	鑽	1
zūn	ㄗㄨㄣ	尊	4
zùn	ㄗㄨㄣˋ	圳	1
zōng	ㄗㄨㄥ	宗	6
zǒng	ㄗㄨㄥˇ	傯	2
zòng	ㄗㄨㄥˋ	從	4
cī	ㄘ	差	3
cí	ㄘˊ	祠	8
cǐ	ㄘˇ	此	1
cì	ㄘˋ	次	3
cā	ㄘㄚ	擦	2
cè	ㄘㄜˋ	冊	6
cāi	ㄘㄞ	猜	1
cái	ㄘㄞˊ	才	5
cǎi	ㄘㄞˇ	采	6
cài	ㄘㄞˋ	菜	2
cāo	ㄘㄠ	操	2
cáo	ㄘㄠˊ	曹	4
cǎo	ㄘㄠˇ	草	1
còu	ㄘㄡˋ	湊	2
cān	ㄘㄢ	參	3
cán	ㄘㄢˊ	殘	3
cǎn	ㄘㄢˇ	慘	1
càn	ㄘㄢˋ	粲	3
cēn	ㄘㄣ	參	1
cén	ㄘㄣˊ	岑	2
cāng	ㄘㄤ	倉	5
cáng	ㄘㄤˊ	藏	1
cēng	ㄘㄥ	噌	1
céng	ㄘㄥˊ	曾	2
cèng	ㄘㄥˋ	蹭	1
cū	ㄘㄨ	粗	2
cú	ㄘㄨˊ	殂	1
cù	ㄘㄨˋ	卒	11
cuō	ㄘㄨㄛ	差	4
cuó	ㄘㄨㄛˊ	痤	2
cuò	ㄘㄨㄛˋ	剉	7
cuī	ㄘㄨㄟ	衰	4
cuǐ	ㄘㄨㄟˇ	璀	1
cuì	ㄘㄨㄟˋ	脆	9
cuān	ㄘㄨㄢ	汆	2
cuán	ㄘㄨㄢˊ	攢	1
cuàn	ㄘㄨㄢˋ	篡	3
cūn	ㄘㄨㄣ	村	2
cún	ㄘㄨㄣˊ	存	1
cǔn	ㄘㄨㄣˇ	忖	1
cùn	ㄘㄨㄣˋ	寸	2
cōng	ㄘㄨㄥ	匆	6
cóng	ㄘㄨㄥˊ	淙	4
sī	ㄙ	司	9
sǐ	ㄙˇ	死	1
sì	ㄙˋ	巳	18
sā	ㄙㄚ	仨	2
sǎ	ㄙㄚˇ	洒	3
sà	ㄙㄚˋ	卅	4
sè	ㄙㄜˋ	色	7
sāi	ㄙㄞ	思	4
sài	ㄙㄞˋ	塞	2
sāo	ㄙㄠ	搔	5
sǎo	ㄙㄠˇ	掃	2
sào	ㄙㄠˋ	掃	3
sōu	ㄙㄡ	溲	5
sǒu	ㄙㄡˇ	叟	3
sòu	ㄙㄡˋ	嗽	1
sān	ㄙㄢ	三	2
sǎn	ㄙㄢˇ	散	3
sàn	ㄙㄢˋ	散	1
sēn	ㄙㄣ	森	1
sāng	ㄙㄤ	桑	2
sǎng	ㄙㄤˇ	嗓	2
sàng	ㄙㄤˋ	喪	1
sēng	ㄙㄥ	僧	1
sū	ㄙㄨ	甦	5
sú	ㄙㄨˊ	俗	1
sù	ㄙㄨˋ	夙	15
suō	ㄙㄨㄛ	娑	9
suǒ	ㄙㄨㄛˇ	所	5
suò	ㄙㄨㄛˋ	些	1
suī	ㄙㄨㄟ	睢	3
suí	ㄙㄨㄟˊ	隋	2
suǐ	ㄙㄨㄟˇ	髓	1
suì	ㄙㄨㄟˋ	祟	8
suān	ㄙㄨㄢ	痠	2
suàn	ㄙㄨㄢˋ	蒜	2
sūn	ㄙㄨㄣ	孫	4
sǔn	ㄙㄨㄣˇ	筍	3
sōng	ㄙㄨㄥ	忪	5
sǒng	ㄙㄨㄥˇ	悚	4
sòng	ㄙㄨㄥˋ	宋	5
ā	ㄚ	阿	2
a	˙ㄚ	啊	1
ō	ㄛ	呵	2
ó	ㄛˊ	哦	1
ē	ㄜ	阿	4
é	ㄜˊ	俄	10
ě	ㄜˇ	惡	2
è	ㄜˋ	厄	17
āi	ㄞ	哀	5
ái	ㄞˊ	捱	4
ǎi	ㄞˇ	欸	4
ài	ㄞˋ	艾	8
èi	ㄟˋ	欸	1
āo	ㄠ	凹	2
áo	ㄠˊ	敖	11
ǎo	ㄠˇ	拗	3
ào	ㄠˋ	拗	5
ōu	ㄡ	區	8
ǒu	ㄡˇ	偶	4
òu	ㄡˋ	漚	2
ān	ㄢ	安	8
ǎn	ㄢˇ	俺	1
àn	ㄢˋ	岸	6
ēn	ㄣ	恩	1
en	˙ㄣ	嗯	1
āng	ㄤ	腌	2
áng	ㄤˊ	昂	1
àng	ㄤˋ	盎	1
ēr	ㄦ	兒	1
ér	ㄦˊ	而	2
ěr	ㄦˇ	耳	6
èr	ㄦˋ	二	2
yī	ㄧ	一	10
yí	ㄧˊ	台	24
yǐ	ㄧˇ	踦	12
yì	ㄧˋ	乂	62
yā	ㄧㄚ	丫	8
yá	ㄧㄚˊ	牙	6
yǎ	ㄧㄚˇ	啞	3
yà	ㄧㄚˋ	亞	5
ya	˙ㄧㄚ	呀	1
yō	ㄧㄛ	唷	1
yē	ㄧㄝ	掖	2
yé	ㄧㄝˊ	邪	7
yě	ㄧㄝˇ	也	3
yè	ㄧㄝˋ	夜	14
ye	˙ㄧㄝ	吔	1
yái	ㄧㄞˊ	崖	1
yāo	ㄧㄠ	么	8
yáo	ㄧㄠˊ	爻	14
yǎo	ㄧㄠˇ	杳	4
yào	ㄧㄠˋ	要	8
yōu	ㄧㄡ	攸	6
yóu	ㄧㄡˊ	尤	11
yǒu	ㄧㄡˇ	友	7
yòu	ㄧㄡˋ	又	15
yān	ㄧㄢ	奄	15
yán	ㄧㄢˊ	言	16
yǎn	ㄧㄢˇ	奄	10
yàn	ㄧㄢˋ	彥	20
yīn	ㄧㄣ	因	11
yín	ㄧㄣˊ	吟	10
yǐn	ㄧㄣˇ	尹	7
yìn	ㄧㄣˋ	印	4
yāng	ㄧㄤ	央	6
yáng	ㄧㄤˊ	羊	11
yǎng	ㄧㄤˇ	仰	4
yàng	ㄧㄤˋ	養	5
yīng	ㄧㄥ	英	13
yíng	ㄧㄥˊ	迎	13
yǐng	ㄧㄥˇ	郢	5
yìng	ㄧㄥˋ	映	3
wū	ㄨ	污	11
wú	ㄨˊ	亡	11
wǔ	ㄨˇ	五	14
wù	ㄨˋ	兀	17
wā	ㄨㄚ	挖	5
wá	ㄨㄚˊ	娃	1
wǎ	ㄨㄚˇ	瓦	1
wà	ㄨㄚˋ	襪	1
wa	˙ㄨㄚ	哇	1
wō	ㄨㄛ	渦	3
wǒ	ㄨㄛˇ	我	1
wò	ㄨㄛˋ	沃	8
wāi	ㄨㄞ	歪	1
wǎi	ㄨㄞˇ	歪	1
wài	ㄨㄞˋ	外	1
wēi	ㄨㄟ	委	8
wéi	ㄨㄟˊ	危	16
wěi	ㄨㄟˇ	尾	14
wèi	ㄨㄟˋ	未	18
wān	ㄨㄢ	剜	5
wán	ㄨㄢˊ	丸	6
wǎn	ㄨㄢˇ	宛	13
wàn	ㄨㄢˋ	卍	5
wēn	ㄨㄣ	溫	3
wén	ㄨㄣˊ	文	6
wěn	ㄨㄣˇ	刎	3
wèn	ㄨㄣˋ	文	6
wāng	ㄨㄤ	汪	2
wáng	ㄨㄤˊ	亡	2
wǎng	ㄨㄤˇ	枉	7
wàng	ㄨㄤˋ	王	5
wēng	ㄨㄥ	翁	2
wěng	ㄨㄥˇ	蓊	1
wèng	ㄨㄥˋ	瓮	2
yū	ㄩ	迂	4
yú	ㄩˊ	于	38
yǔ	ㄩˇ	予	15
yù	ㄩˋ	玉	42
yuē	ㄩㄝ	曰	2
yuè	ㄩㄝˋ	月	12
yuān	ㄩㄢ	宛	5
yuán	ㄩㄢˊ	元	20
yuǎn	ㄩㄢˇ	遠	1
yuàn	ㄩㄢˋ	苑	7
yūn	ㄩㄣ	暈	2
yún	ㄩㄣˊ	云	9
yǔn	ㄩㄣˇ	允	4
yùn	ㄩㄣˋ	孕	10
yōng	ㄩㄥ	邕	12
yóng	ㄩㄥˊ	喁	1
yǒng	ㄩㄥˇ	永	12
yòng	ㄩㄥˋ	用	2
