# 李晓琪等-现代汉语音节动态统计分析
#  Worlton, Daniel S. (2014) “超越汉字：现代汉语音节动态统计分析”李晓琪、贾益民、徐娟（主编）《数字化汉语教学（2014）》，北京：清华大学出版社，437-443.
# 备份: https://linguistese.com/yinjiebiao
#
# 备注：
# -  yan5 或为“䶮 yǎn”，但非轻声。
# - 部分音节可能有问题: 艈 uu5, 虲 uu5, 莻 neus5
#
# 汉字序号	汉字	音节	P(Z|Y)	P(Y|Z)	音节序号	载字量

132	将	jiang1	0.583	0.422	241	12
577	江	jiang1	0.326	1.000	241	12
451	八	ba1	0.432	0.994	242	13
470	吧	ba1	0.205	0.500	242	13
546	巴	ba1	0.332	0.943	242	13
289	达	da2	0.693	0.995	243	15
559	答	da2	0.268	0.786	243	15
185	门	men2	0.998	0.994	244	5
312	求	qiu2	0.657	1.000	245	23
628	球	qiu2	0.304	1.000	245	23
189	海	hai3	0.999	1.000	246	4
190	通	tong1	0.998	0.994	247	3
338	院	yuan4	0.606	1.000	248	9
598	愿	yuan4	0.327	1.000	248	9
256	资	zi1	0.823	1.000	249	33
249	场	chang3	0.824	0.971	250	7
963	厂	chang3	0.161	0.983	250	7
445	九	jiu3	0.467	1.000	251	8
637	久	jiu3	0.309	1.000	251	8
797	酒	jiu3	0.218	1.000	251	8
219	活	huo2	0.922	0.980	252	2
252	管	guan3	0.847	1.000	253	7
1011	馆	guan3	0.152	1.000	253	7
526	律	lu:4	0.390	1.000	254	10
625	率	lu:4	0.276	0.855	254	10
901	虑	lu:4	0.186	1.000	254	10
1088	绿	lu:4	0.131	0.988	254	10
202	水	shui3	1.000	0.997	255	1
352	根	gen1	0.614	1.000	256	2
541	跟	gen1	0.386	1.000	256	2
237	反	fan3	0.922	1.000	257	3
490	周	zhou1	0.427	1.000	258	14
701	洲	zhou1	0.273	1.000	258	14
721	州	zhou1	0.264	1.000	258	14
205	论	lun4	1.000	0.984	259	1
210	入	ru4	0.993	1.000	260	8
378	令	ling4	0.567	0.958	261	3
489	另	ling4	0.432	1.000	261	3
207	走	zou3	1.000	1.000	262	2
277	科	ke1	0.807	1.000	263	24
698	疑	yi2	0.280	1.000	264	34
880	移	yi2	0.199	1.000	264	34
892	遗	yi2	0.193	0.988	264	34
213	口	kou3	1.000	0.994	265	1
232	安	an1	0.961	1.000	266	17
364	林	lin2	0.621	1.000	267	22
836	临	lin2	0.217	1.000	267	22
259	山	shan1	0.894	1.000	268	21
525	陈	chen2	0.417	1.000	269	13
747	沉	chen2	0.261	1.000	269	13
1138	臣	chen2	0.131	1.000	269	13
511	构	gou4	0.431	1.000	270	12
538	够	gou4	0.409	1.000	270	12
1078	购	gou4	0.144	1.000	270	12
225	女	nu:3	0.999	1.000	271	2
369	往	wang3	0.618	0.980	272	9
605	网	wang3	0.364	1.000	272	9
228	总	zong3	1.000	1.000	273	4
320	交	jiao1	0.738	1.000	274	27
321	规	gui1	0.737	1.000	275	19
933	归	gui1	0.193	1.000	275	19
459	查	cha2	0.489	0.990	276	13
564	察	cha2	0.395	1.000	276	13
1272	茶	cha2	0.106	1.000	276	13
144	应	ying1	0.231	0.150	277	19
371	英	ying1	0.638	1.000	277	19
301	完	wan2	0.791	1.000	278	9
1072	玩	wan2	0.147	0.981	278	9
222	别	bie2	0.998	0.960	279	4
223	打	da3	1.000	0.962	280	1
649	阳	yang2	0.341	0.996	281	17
803	洋	yang2	0.241	0.986	281	17
1062	杨	yang2	0.154	1.000	281	17
1084	扬	yang2	0.148	1.000	281	17
264	统	tong3	0.934	1.000	282	7
332	传	chuan2	0.626	0.864	283	5
614	船	chuan2	0.372	1.000	283	5
299	王	wang2	0.808	0.995	284	2
957	亡	wang2	0.192	1.000	284	2
326	望	wang4	0.757	1.000	285	8
1056	忘	wang4	0.159	1.000	285	8
409	价	jia4	0.582	0.985	286	6
846	架	jia4	0.232	1.000	286	6
358	组	zu3	0.687	1.000	287	5
1025	祖	zu3	0.170	1.000	287	5
1175	阻	zu3	0.133	1.000	287	5
622	威	wei1	0.371	1.000	288	15
653	微	wei1	0.347	1.000	288	15
826	危	wei1	0.242	1.000	288	15
434	断	duan4	0.559	1.000	289	7
567	段	duan4	0.409	1.000	289	7
494	仅	jin3	0.436	0.917	290	13
561	紧	jin3	0.416	1.000	290	13
12	个	ge5	0.987	0.143	291	4
316	边	bian1	0.728	0.912	292	10
858	编	bian1	0.234	1.000	292	10
82	好	hao4	0.400	0.164	293	11
487	号	hao4	0.474	0.948	293	11
367	快	kuai4	0.655	0.946	294	12
793	块	kuai4	0.263	1.000	294	12
285	听	ting1	0.865	0.980	295	7
1217	厅	ting1	0.124	1.000	295	7
258	命	ming4	1.000	1.000	296	2
529	护	hu4	0.458	1.000	297	19
801	户	hu4	0.256	0.982	297	19
819	互	hu4	0.253	1.000	297	19
389	单	dan1	0.634	0.976	298	15
720	担	dan1	0.244	0.793	298	15
262	许	xu3	0.991	1.000	299	8
402	商	shang1	0.634	1.000	300	8
661	伤	shang1	0.358	1.000	300	8
275	展	zhan3	0.946	1.000	301	8
512	房	fang2	0.485	1.000	302	6
548	防	fang2	0.449	1.000	302	6
442	容	rong2	0.578	1.000	303	17
993	荣	rong2	0.192	1.000	303	17
1225	融	rong2	0.127	1.000	303	17
330	共	gong4	0.782	1.000	304	3
550	供	gong4	0.140	0.310	304	3
109	长	zhang3	0.721	0.346	305	6
890	掌	zhang3	0.230	1.000	305	6
500	列	lie4	0.503	1.000	306	20
802	烈	lie4	0.267	1.000	306	20
1317	裂	lie4	0.109	0.986	306	20
310	类	lei4	0.847	1.000	307	7
1271	泪	lei4	0.119	1.000	307	7
469	显	xian3	0.538	1.000	308	13
672	险	xian3	0.356	1.000	308	13
572	故	gu4	0.430	1.000	309	14
814	顾	gu4	0.263	1.000	309	14
896	固	gu4	0.231	1.000	309	14
716	简	jian3	0.323	1.000	310	26
731	检	jian3	0.311	1.000	310	26
857	减	jian3	0.247	1.000	310	26
206	处	chu3	0.498	0.414	311	9
859	楚	chu3	0.225	0.914	311	9
1014	础	chu3	0.189	1.000	311	9
304	色	se4	0.863	0.973	312	11
552	续	xu4	0.466	1.000	313	23
837	序	xu4	0.259	1.000	313	23
53	行	hang2	0.668	0.199	314	9
773	航	hang2	0.295	1.000	314	9
705	范	fan4	0.336	1.000	315	12
767	犯	fan4	0.298	1.000	315	12
934	饭	fan4	0.222	1.000	315	12
1327	泛	fan4	0.109	0.963	315	12
476	图	tu2	0.549	1.000	316	12
1060	徒	tu2	0.178	1.000	316	12
1085	途	tu2	0.169	1.000	316	12
439	消	xiao1	0.616	1.000	317	30
904	销	xiao1	0.236	1.000	317	30
357	持	chi2	0.769	1.000	318	13
1374	迟	chi2	0.108	1.000	318	13
457	委	wei3	0.567	0.978	319	27
1107	伟	wei3	0.164	1.000	319	27
1282	尾	wei3	0.121	0.990	319	27
444	照	zhao4	0.611	1.000	320	10
1169	赵	zhao4	0.151	1.000	320	10
1214	召	zhao4	0.129	0.950	320	10
446	增	zeng1	0.604	1.000	321	9
463	曾	zeng1	0.375	0.652	321	9
80	还	hai2	0.488	0.182	322	3
534	孩	hai2	0.494	1.000	322	3
324	拉	la1	0.859	0.992	323	6
1194	啦	la1	0.115	0.800	323	6
527	足	zu2	0.502	1.000	324	7
549	族	zu2	0.481	1.000	324	7
221	更	geng1	0.925	0.759	325	9
323	取	qu3	0.879	1.000	326	5
192	儿	r5	1.000	0.734	327	1
530	兴	xing1	0.437	0.866	328	7
537	星	xing1	0.496	0.988	328	7
627	独	du2	0.431	1.000	329	14
752	读	du2	0.316	0.975	329	14
947	毒	du2	0.232	1.000	329	14
290	光	guang1	0.993	1.000	330	7
291	放	fang4	1.000	1.000	331	1
286	白	bai2	1.000	0.992	332	1
362	亲	qin1	0.779	0.965	333	9
1086	侵	qin1	0.180	1.000	333	9
394	爱	ai4	0.740	1.000	334	16
1291	艾	ai4	0.129	1.000	334	16
1436	碍	ai4	0.104	1.000	334	16
272	空	kong1	0.998	0.920	335	6
292	强	qiang2	0.849	0.843	336	6
1213	墙	qiang2	0.145	1.000	336	6
140	重	chong2	0.743	0.379	337	4
1286	虫	chong2	0.131	1.000	337	4
383	呢	ni2	0.476	0.611	338	15
654	尼	ni2	0.420	1.000	338	15
418	府	fu3	0.702	1.000	339	20
345	运	yun4	0.867	1.000	340	22
496	落	luo4	0.569	0.978	341	14
978	洛	luo4	0.228	1.000	341	14
1118	络	luo4	0.176	0.987	341	14
417	离	li2	0.717	1.000	342	34
1476	黎	li2	0.102	1.000	342	34
79	分	fen4	0.422	0.140	343	9
784	份	fen4	0.312	0.960	343	9
